Abk;Name
Wz H1;Urschendorf
Wz;Winzendorf
Yb H1;Gurhof
Y;Ybbs a.d.Donau
Z A1;AB (Awanst)
Zab;Wien Zvbf Abzww Felixdorf (in Zur)
Za;Kledering (in Zur)
Zd F1;Zellerndorf-Ost (Ri1) (in Zd)
Zd F2;Zellerndorf-Ost (Ri2) (in Zd)
Zd;Zellerndorf (in Zd)
Ze W1;Abzww Zur (in Zur)
Ze;Wien Zvbf-Einfgr (in Zur)
Zf H1;Hst außer Betrieb
Zf;Ziersdorf
Zg A2;AB (Awanst)
Zg A5;AB Fohnsdorf
Zg A7;AB
Zg;Zeltweg
Z H1;Gerling im Pinzgau
Zia;Zistersdorf
Z K1;Maishofen-Saalbach (Awanst)
Zl H1;Inzing
Zl H2;Hatting
Zl H3;Oberhofen im Inntal
Zl K1;Flaurling (Awanst)
Zl S11;Sbl Zl 1
Zl S12;Sbl Zl 1
Zl S31;Sbl Zl 3
Zl S32;Sbl Zl 3
Zl U2;Üst Zl 2
Zl;Zirl
Zno;Znojmo
Zn;Wien Zvbf-Nord (in Zur)
Zo;Wien Zvbf-Ost (in Zur)
Z S21;Sbl Z 2
Z S22;Sbl Z 2
Zs;Lanzendorf-Rannersdorf (in Zur)
Z U1;Üst Z 1
Zur S11;Sbl Zur 1
Zur S12;Sbl Zur 1
Zur;Wien Zvbf (in Zur)
Zu;Zurndorf
Zws;Zwettl Stadt
Zw;Zwettl
Z;Zell am See
