Abréviation;Définition
OTG;Ottignies
OTO;La ROTONDE
OUA;Ourscamp
OUL;Oullins
OYO;Oyonnax
OY;Orly VILLE
OZA;Onzain
OZF;Ozoir LA FERRIERE
OZN;Montzen
PAA;Ply BANLIEUE
PAC;Pauillac
PAG;Pargny SUR SAULX
PAI;Pasilly PRS 17
PAM;Pont A MOUSSON
PAN;Pantin
PA;Port D'ATELIER
PAP;Pamproux
PAR;Pont DE L'ARCHE
PAU;Pau
PAV;Pont A VENDIN
PAY;Parthenay
PAZ;Paris AUSTERLITZ
PBC;Pleyber CHRIST
PBI;Pouru BREVILLY
PBM;Pombliere ST MARCEL
PBN;Puybrun
PBO;Port BOU
PB;Paris BATIGNOLLES
PBQ;Poste DES BERCHETTES
PBT;Port BOULET
PBU;Pont DE BUIS
PBY;Paris BERCY (VOYAGEURS)
PCA;Pontcharra-SUR-BREDA
PCC;Parent COUDES CHAMPEIX
PCG;Parsac GOUZON
PCH;Paris LA CHAPELLE
PCL;Porte DE CLICHY
PCO;Plombieres (COTE D'OR)
PCT;Plechatel
PCU;Pont CHATEAU
PCY;Port SEC DE PACY
PDA;Pont D'AIN
PDB;Port DE BOUC
PDC;Pont DE CLAIX
PDD;Pont DE LA DEULE
PDE;Pont D'HERY
PDG;Pointe DE GRAVE
PDL;Pas DES LANCIERS
PDM;Pont DE L ALMA
PDO;Pont DE DORE
PDP;Poix DE PICARDIE
PDR;Pont DE ROIDE
PDS;Prades MOLITG LES BAINS
PEB;Persan BEAUMONT
PEC;Pernes CAMBLAIN
PEG;Perrignier
PEI;Peille
PEL;Pont DE VEYLE
PEO;Peronville
PE;Paris EST
PES;Polienas
PET;Peynier ROUSSET
PEX;Parc DES EXPOSITIONS
PEY;Peyraud
PEZ;Pezou
PFN;Pierrefitte NESTALAS
PFS;Pleine FOUGERES
PGA;Puigcerda
PGB;Pontgibaud
PGE;Plerguer
PGH;Peterborough
PGN;Poligny
PG;Plaisir GRIGNON
PGR;Le PEAGE DE ROUSSILLON
PGU;Plouigneau
PGV;Paris BERCY CONFLANS
PGY;Pringy (HAUTE SAVOIE)
PHA;Phalempin
PHE;La PENNE SUR HUVEAUNE
PHG;Petit REDERCHING
PHI;Perenchies
PHR;La PORCHERIE
PIA;Pisany
PIC;Piolenc TGV
PIE;Plaisir LES CLAYES
PIL;Plaintel
PIM;Puy IMBERT
PIO;Pierroton
PIP;Paimpol
PIQ;Picquigny
PIT;Pithiviers
PIW;Pressins
PIX;Poix TERRON
PIY;Le PRIORY
PLA;Plancoet
PLB;Le PLESSIS BELLEVILLE
PLC;Plouharnel-CARNAC
PLE;Plestan
PLH;Paulhaguet
PLJ;Plenee JUGON
PLL;Le PALLET
PLM;Paray LE MONIAL
PLN;Port LA NOUVELLE
PLR;Port ST LOUIS
PLT;Plouaret TREGOR
PLV;Paris LA VILLETTE
PLX;Plessis POSTE 31 PRS
PLY;Paris-LYON
PMB;La POINTE BOUCHEMAINE
PMC;Parcoul MEDILLAC
PMO;Pagny SUR MOSELLE
PMP;Paris MONTPARNASSE
PMS;Pamiers
PMT;Pontmort
PNB;Paris NORD GARE BANLIEUE
PNC;Pornic
PNE;Penne(LOT ET GARONNE)
PNF;Pontcharra ST FORGEUX
PNG;Palinges
PNI;Pornichet
PNN;Pontgouin
PNO;Paris NORD
PN;Pons
PNR;Plounerin
PNT;Pont HEBERT
PNX;Pontanevaux LA CHAPELLE
POA;Porchefontaine
POB;Pont DE BEAUVOISIN
POC;Pont DU CHATEAU
POD;Podensac
POE;Pont ST ESPRIT
POL;Polisot
POM;Pompadour
PON;Pontorson MONT ST MICHEL
PO;Paris OURCQ
POP;Ponthierry PRINGY
POR;Portes
POT;Pont MAUGIS
POU;Poule
POV;Port VENDRES VILLE
PPE;Pompey (EX BV)
PPM;Porte PUYMORENS
PPN;Perpignan
PP;Port DE PILES
PQS;Poste 17 PRS
PQY;Petit QUEVILLY
PRD;Pont D'ARDRES
PRE;Pre-EN-PAIL
PRF;Pierrefitte-STAINS
PRG;Preignac
PRH;Peyrehorade
PRL;Pierrelatte
PRM;Pont REMY
PRN;Pont SUR SEINE
PRO;Provins
PR;Prague
PRR;Pereire LEVALLOIS
PRS;Pont DE BRIQUES
PRT;Prouvy 
PRU;P.DE RUNGIS AEROP.D'ORLY
PRY;Pierrelaye
PSA;Poste DE ST ANTOINE
PSC;Pessac
PSE;Pontoise
PSJ;Pont DE SALLAUMINES
PSL;Paris ST LAZARE
PSM;Port STE MARIE
PS;Poitiers
PSS;Portet ST SIMON
PSU;Pougues LES EAUX
PSV;Pont ST VINCENT
PSY;Poissy
PTA;Pont AUDEMER
PTB;Presles EN BRIE
PTC;Pont CARDINET
PTE;Peltre
PTG;Petange(CFL)
PTH;Le PETIT THERAIN
PTL;Pontarlier
PT;Patay
PTS;Pontailler SUR SAONE
PTT;Port BRILLET
PTV;Pont VERT
PTX;Puteaux
PTY;Pontivy
PUB;Publier
PUD;Lapalud TGV.
PUE;Puget SUR ARGENS
PUG;Puy GUILLAUME
PUO;Puyoo
PU;Pont DU CASSE
PUY;Pont SUR YONNE
PVA;Paris MONTPARNASSE-VAUGIRARD
PVB;Les PAVILLONS SOUS BOIS
PVF;Provencheres SUR FAVE
PVQ;Pont L'EVEQUE
PVZ;Prevenches GORGES DU CHASSEZ
PXE;Pont STE. MAXENCE
PXL;Ponte-LECCIA
PX;Perigueux
PXX;Pouxeux
PYC;Pouilly SUR CHARLIEU
PYL;Pouilly SUR LOIRE
PYM;Pagny SUR MEUSE
PYO;Precy SUR OISE
PYY;Pyrimont CHANAY
PZB;Paris AUST. RER C
PZ;Pouzauges
QB;Quiberon
QIN;Quintin
QMN;Quemeneven
QNT;Quenast
QPL;Quimperle
QR;Quimper
QRT;Courtrai
QUE;Questembert
QUI;Quillan
QUS;Quesnoy SUR DEULE
QUX;Quincieux
QY;Quevy
RAB;Rabastens COUFFOULEUX
RAC;Rambucourt BOUCONVILLE
RAG;Rilly LA MONTAGNE
RAH;Rouffach
RAM;Les RAMASSIERS
RAO;Raon L'ETAPE
RA;Ria
RAS;Raismes NORD
RAT;Rolampont
RAU;Rassuen
RAV;Ribeauville
RBE;Roche LEZ BEAUPRE
RBI;Rosny BOIS PERRIER
RBK;Aig IPCS KM.64,2 (ST RAMBERT)
RBS;Rombas CLOUANGE
RBT;Rambouillet
RCL;Riscle
RCP;Ronchamp
RCQ;Recquignies
RC;Rochefort
RCY;Rochy CONDE
RDF;Rang DU FLIERS VERTON
RDG;Reding
RDN;Redon
RDT;Redessan TGV
RDY;Rac DE GAGNY
RDZ;Rodez
REE;Rouesse VASSE
REI;Reignier
REL;Reuilly(INDRE)
REO;La REOLE
RE;Reims
RER;Reterre
RES;Rennes
REV;Revigny
REY;Remy OISE
RFF;Roscoff
RF;Rungis LA FRATERNELLE
RFY;Ruffey
RGA;Reignac
RGC;Rognac
RGD;Ringendorf
RGN;Ranguin
RGP;Rougemont CHANTELOUP
RG;Rouen R.G.
RGR;Rive DE GIER
RGV;Roquemaure TGV
RGY;Regny
RHE;Rixheim
RHR;Romaneche THORINS
RHV;Reichshoffen VILLE
RIA;Rieux ANGICOURT
RIB;Ribecourt
RIL;Rouille
RIM;Rimaucourt
RIO;Riom
RI;Rimini
RIS;Ris ORANGIS
RIV;Rives
RLY;Rully
RMI;Remilly
RMN;Rouxmesnil
RM;Rome
RMS;Remoulins PONT DU GARD
RMT;Rouen MARTAINVILLE
RMY;Romilly SUR SEINE
RND;Randan
RNH;Ranchot
RNN;Rochefort SUR NENON
RNO;Rouen ORLEANS
RNS;Robinson
RNT;Remiremont
ROA;Roanne
ROB;Roissy EN BRIE
ROC;Ronchin
ROE;Roye SOMME
ROG;Rodange(CFL)
ROH;Rosheim
ROI;Rosieres AUX SALINES
ROL;Rolleville
ROM;Romans BOURG DE PEAGE
RON;Ronet
ROP;Russelsheim OPELWERK
ROQ;Roquefort LANDES
ROS;Rosieres
ROT;Rosult
ROUEN RD;Rouen RIVE-DROITE
ROY;Royan
RPT;Reze PONT ROUSSEAU
RQE;Roqueseriere
RSA;Romilly SUR ANDELLE
RSB;Rosny SOUS BOIS
RSC;Renescure
RSL;Reims ST LEONARD
RSN;Reims MAISON BLANCHE
RSP;Rosporden
RSS;Rosny SUR SEINE
RSY;Aerop 1 CH DE GAULLE
RSZ;Schwetzingen
RTH;Rothau
RTI;Retiers
RTL;Rethel
RT;Romont
RTT;Reichstett
RTZ;Riedseltz
RUI;Rueil MALMAISON
RUL;Ruelle
RUM;Rumilly
RUN;Rungis
RUR;Rueil MALMAISON RER
RU;Ruffec(CHARENTE)
RUX;Roeux PAS DE CALAIS
RVB;Raves BAN DE LAVELINE
RVE;Realville
RVM;Le RAINCY VILLEMOMBLE
RV;Revin
RVS;Revel SOREZE
RVT;Rivesaltes
RWG;Roeschwoog
RWL;Richwiller
RWO;Romorantin
RX;Roubaix
RXW;Roubaix WATTRELOS
RYA;Royat CHAMALIERES
RYP;Romilly LA PUTHENAYE
RYR;Aerop 2 CH DE GAULLE - RER
RYT;Aerop 2 CH DE GAULLE - TGV
RZA;Razac
RZS;Roumazieres LOUBERT
RZY;Rozoy SUR SERRE
SAA;Saales
SAC;St ANDRE DE CUBZAC
SAD;St AMAND MONTROND ORVAL
SAE;St ANDRE DE L'EURE
SAF;St SAUVEUR CHATEAUNEUF
SAG;Saint ANDRE LE GAZ
SAH;Sainte MARTHE EN PROVENCE
SAI;St AIGULIN LA ROCHE CHALAIS
SAL;Salbris
SAM;Saint AMAND LES EAUX
SAN;St AIGNAN NOYERS
SAO;Savigny SUR ORGE
SAQ;Saint CYR LES LECQUES LA CADIE
SAR;Saint AMOUR
SA;Saone
SAS;Salaise
SAU;Chateau ARNOUX-SAINT AUBAN
SAV;St AUBIN DU VIEIL EVREUX
SAW;Sains DU NORD
SAX;Saint AMBROIX
SAY;Saint ANDRE DE CORCY
SBA;Brebach
SBB;Saint RAMBERT EN BUGEY
SBC;St BRIEUC
SBD;St BONNET DE ROCHEFORT
SBE;St AUBIN SUR SCIE
SBF;St SEBASTIEN
SBG;Sarrebourg
SBI;St MARTIN DE BOUILLAC
SBK;Sarrebruck
SBL;Sain BEL
SBO;Sceaux B0ESSE
SBP;St AUBIN ST LUPERCE
SBQ;Steenbecque
SBR;Saint BERON LA BRIDOIRE
SB;Sous LE BOIS
SBZ;St HILAIRE BRIZAMBOURG
SCD;St CLOUD
SCE;Ste COLOMBE LES VIENNE ST R
SCG;St CERGUES LES VOIRONS
SCH;Schaerbeek
SCI;Saint MARCELLIN (ISERE)
SCK;Schirmeck LA BROQUE
SCL;Saint CLAUDE
SCM;Saint CHAMOND
SCN;Seclin
SCO;St GENOUPH
SCP;Sorgues CHATEAUNEUF DU PAPE
SCR;St CYR
SCS;Saint CESAIRE
SCU;Sincey LES ROUVRAY
SCV;St CYR EN VAL LA SOURCE
SCW;St CHERON
SCX;St CLEMENT LARONXE
SCY;Sorcy
SCZ;Sainte CECILE D'ANDORGE
SDB;St ETIENNE DE BAIGORRY
SDE;Saint DENIS
SDI;Saint GEORGES DE RENEINS
SDJ;St DENIS JARGEAU
SDL;Dillingen
SDM;St DENIS PRES MARTEL
SDN;Surdon
SDO;Saint ROME DE CERNON
SDP;St DENIS PRES CATUS
SDQ;St ETIENNE DE MONTLUC
SDR;St ETIENNE DU ROUVRAY
SD;St DIE
SDU;Saint GEORGES DE LUZENCON
SDV;St AMAND DE VENDOME
SDZ;St DIZIER
SEA;St.ETIENNE PONT DE L'ANE
SEB;Saint ETIENNE BELLEVUE
SEC;Saint ETIENNE LE CLAPIER
SED;Sedan
SEG;Saint EGREVE ST ROBERT
SEI;St EMILION
SEK;Ste EULALIE CARBON B.
SEL;Saint ELOI
SEM;Sembadel
SEN;Saint PIERRE EN FAUCIGNY
SEO;St.ETIENNE CARNOT
SEP;Septemes
SEQ;Serqueux
SER;St ERME
SE;Saint ETIENNE CHATEAUCREUX
SES;Sens
SET;Saint ETIENNE LA TERRASSE
SEU;Seurre
SEV;Sevran LIVRY
SEX;St ANDRE DES EAUX
SEY;Saint ELOY
SEZ;Sierentz
SFC;Saint FLOUR CHAUDES AIGUES
SFD;Stade DE FRANCE ST DENIS
SFE;Solferino
SF;Saint MAMMES
SFS;Saint FONS
SFT;St FLORENT SUR CHER
SFY;Ste FOY LA GRANDE
SGA;Saint GEORGES D'AURAC
SGB;St GERVAIS-LES-BAINS-LE F.
SGC;Saint GEORGES DE COMMIERS
SGD;St GAUDENS
SGE;Surgeres
SGF;Saint GERMAIN DES FOSSES
SGG;Ste GAUBURGE
SGH;Saint GERVAIS CHATEAUNEUF
SGL;Veauche SAINT GALMIER
SGM;St GERMAIN GC
SGN;St GERMAIN LES BELLES
SGO;Saint GERMAIN AU MONT D OR
SGP;St GERMAIN DU PUY
SGQ;St GEOURS
SGR;Segre
SGS;Sarreguemines
SG;Strasbourg
SGT;Saint GRATIEN
SGV;St GILLES CROIX DE VIE
SGW;Saillagouse
SGY;Songy
SHB;St HILAIRE DE BRETHMAS
SHI;Schifferstadt
SHL;St MICHEL NOTRE DAME
SHM;Sains RICHAUMONT
SHN;Saint HILAIRE ST NAZAIRE
SHO;St MICHEL SUR ORGE
SHR;Ste CHRISTIE
SH;Saint CHAMAS
SHS;Saint OMER EN CHAUSSEE
SHT;St HILAIRE AU TEMPLE
SIA;Saillans
SIB;Sibelin TRIAGE
SIC;St VICTOR
SIF;Saint FLORENTIN VERGIGNY
SIH;St CHRISTOPHE(AVEYRON)
SII;Sireuil
SIK;Sierck LES BAINS
SIM;St MESMIN
SIN;Sin LE NOBLE
SIO;Sisteron
SIP;Sollies PONT
SIR;Salles COURBATIERS
SI;Simiane
SIS;Savines
SIT;St LOUBES
SIU;Saulieu
SIV;St VICTURNIEN
SIX;St MESMIN LE VIEUX
SIY;Silly
SIZ;Saint GERVASY BEZOUCE
SJA;St JEAN D'ANGELY
SJD;St JEAN DE SAUVES
SJG;Saint JULIEN EN GENEVOIS
SJJ;St JACQUES DE LA L.-LA JANAIS
SJK;St JEAN DE BRAYE
SJL;Saint JEAN DE LOSNE
SJM;St JEAN DE MAURIENNE ARVAN
SJN;St JULIEN LES VILLAS
SJO;Saint JUST SUR LOIRE
SJP;St JEAN PIED DE PORT
SJQ;Saint JULIEN CLENAY
SJR;St JUST ST RAMBERT
SJ;Saujon
SJS;Saint JUST EN CHAUSSEE
SJU;St JUNIEN
SJX;Saint JULIEN DU SAULT
SJY;St JORY
SJZ;St JEAN DE LUZ CIBOURE
SKA;Sarras
SKD;Simard
SKM;Stockem
SKN;Solignac LE VIGEN
SKR;Saint CLAIR LES ROCHES
SKS;Sees
SKY;Sommery
SLA;Saint LOUIS LES AYGALADES
SLB;Santenay LES BAINS
SLC;Sarlieve COURNON
SLD;Salindres
SLE;St LEONARD DE NOBLAT
SLF;Saint LEU LA FORET
SLG;Sille LE GUILLAUME
SLH;Saint LEGER SUR DHEUNE
SLI;Sallaumines
SLJ;Saint LAURENT (JURA)
SLK;Saint GERMAIN L ESPINASSE
SLL;Sarcelles ST BRICE
SLN;Saulon
SLO;St LO
SLR;St LEONARD VOSGES
SL;Sarlat
SLS;Sallanches COMBLOUX MEGEVE
SLT;Saint LEU D'ESSERENT
SLW;Saint GILLES
SLX;Saleux
SLY;Sillery
SMA;Saint MARCEL
SMB;Saint MARTIN SAIL LES BAINS
SMC;St MICHEL SUR CHARENTE
SMD;Saint MARTIN DE CRAU
SME;St MARTIN D'ETAMPES
SMG;St MEEN LE GRAND
SMI;Saint MICHEL VALLOIRE
SMK;St GERMAIN ST REMY
SML;Saint MARTIN BELLEVUE
SMN;Ste MENEHOULD
SMS;St MARIENS ST YZAN
SM;St MALO
SMT;St MARTIN DU TOUCH
SMU;Sommesous
SMV;Suresnes MONT VALERIEN
SMW;St GERMAIN SUR ILLE
SMX;St MAIXENT (DEUX SEVRES)
SMZ;St MEDARD DE GUIZ.
SNB;St NOM LA BR. FORET DE MARLY
SNE;Saverne
SNF;Strasbourg NEUDORF
SNG;Steinbourg
SNH;St SAVINIEN SUR CHARENTE
SNJ;Saint JODARD
SNK;Neunkirchen
SNM;St REMY LES CHEVREUSES
SNN;Sannois
SNP;Saint ROMAIN DE POPEY
SNS;Saulnes
SN;St NAZAIRE
SNV;Saint LAURENT DU VAR
SNW;St MACAIRE
SNY;Savenay
SNZ;St MATHURIN
SOA;Saint OUEN L'AUMONE
SOB;St OUEN DU BREUIL
SOD;Saint OUEN LES DOCKS
SOE;Selommes
SOH;Ep ST JULIEN-MONTRICHER
SOI;Soissons
SOK;St GILDAS DES BOIS
SOL;Saint OUEN L AUMONE LIESSE
SOM;Somain
SON;Salon
SOO;Soulosse (EX BV)
SOP;Sospel
SOR;Saint OURS LES ROCHES
SO;Sotteville
SOS;Saint OUEN
SOT;Sottevast
SOU;Souillac
SOZ;Senozan
SPA;Saint PIERRE D'ALBIGNY
SPC;St PIERRE LA COUR
SPD;St PIERRE SUR DIVES
SPF;St PAUL DE FENOUILLET
SPI;St PIAT
SPJ;Sausset LES PINS
SPL;St POL DE LEON
SPM;Saint PIERRE LE MOUTIER
SPN;St PATERNE
SPP;Souppes-CHATEAU-LANDON
SPR;Saint PRIEST
SP;St PIERRE DES CORPS
SPT;Saint POL SUR TERNOISE
SPX;St PIERRE D'AURILLAC
SPY;St PIERRE DU VAUVRAY
SPZ;Ste PAZANNE
SQD;Sequedin
SQE;La SELLE EN LUITRE
SQF;Saint QUENTIN FALLAVIER
SQL;Les SALELLES
SQ;Saint QUENTIN
SQY;St QUENTIN EN YVELINES
SRA;Saint RAMBERT D ALBON
SRB;Sarralbe
SRC;Sarrancolin
SRD;Sennecey LE GRAND
SRE;Serres
SRG;Sarreinsming
SRH;Strasbourg PORT DU RHIN
SRL;St MARS LA BRIERE
SRM;St PAL ST ROMAIN
SRN;Saverdun
SRO;Saint ROCH SOMME
SRP;Saint ROMAIN LE PUY
SRR;St MAUR SUR INDRE
SRS;Suresnes PUTEAUX
SRT;Stockport
SRV;Saint RAPHAEL VALESCURE
SSA;Saint SATURNIN D'AVIGNON
S;Senas
SSF;Soultz SOUS FORETS
SSI;Saint POURCAIN SUR SIOULE
SSJ;St SIMEON
SSK;Saint ETIENNE DU BOIS
SSL;St SULPICE LAURIERE
SSM;St MICHEL SUR MEURTHE
SSP;Saint SAUVEUR DE PEYRE
SS;Saintes
SSS;Seyssel CORBONOD
SST;St SULPICE(TARN)
SSV;St SAVIOL
SSX;St SEVER (CALVADOS)
SSZ;Seltz
STA;Saint ANDRE NORD
STB;St BRICE COURCELLES
STC;Strasbourg CRONENBOURG
STE;Sete
STG;Stuttgart
STH;St THEGONNEC
STI;Stains
STK;St ASTIER
STL;St LOUIS HAUT RHIN
STO;Saint OMER PAS DE CALAIS
STP;Saint PERAY
ST;Saillat CHASSENON
STS;Santes
STT;Selestat
STV;St VARENT
STW;St EULIEN
STY;Stenay
STZ;Strazeele
SUB;Sucy BONNEUIL
SUC;Selles SUR CHER
SUD;Saumur
SUE;Saint PAUL (OISE)
SUF;Salleles-D'AUDE
SUI;Suippes
SUJ;Ste LUCE
SUK;Salon LA TOUR
SUL;Sully SUR LOIRE
SUN;St SEURIN SUR L'ISLE
SUO;Saint VALLIER SUR RHONE
SUP;Saint SULPICE AUTEUIL
SUQ;Sancourt
SUR;Survilliers FOSSES
SU;Sarre-UNION
SUS;Simandre SUR SURAN
SUU;Soulac SUR MER
SUY;Souvigny
SVA;St VAAST BOSVILLEI
SVB;Saint AVRE LA CHAMBRE
SVC;Severac LE CHATEAU
SVD;St AVOLD
SVE;Sauveterre LA LEMANCE
SVG;Severac
SVH;Saint VICTOR THIZY
SVI;Saint VIT
SVK;Suevres
SVL;Sartrouville
SVN;Servas LENT
SVO;Servon
SVR;Sevres (R.G.)
SVT;St VINCENT DE TYROSSE
SVX;Saint PAUL DE VARAX
SVY;St VALERY EN CAUX
SVZ;Servoz
SWG;Schweighouse SUR MODER
SW;Stiring WENDEL
SXA;Lyon-ST EXUPERY TGV.
SXB;Saint BONNET EN BRESSE
SXE;Sermaise
SXG;Ste GENEVIEVE DES BOIS
SXI;Saint MAXIMIN MARCHANDISES
SXO;Solers
SXR;Saint GERMAIN EN LAYE RER
SYC;Sury LE COMTAL
SYF;Satigny
SYH;Saint CHELY D'APCHER
SYJ;Sougy SUR LOIRE
SYL;Sully PRS 21
SYM;St MARTORY
SYO;Saint YORRE
SYR;Sathonay RILLIEUX
SY;Serquigny
SYS;St MEDARD D'EYRANS
SYT;Ste MAURE NOYANT
SYU;Selongey
SYX;St YRIEIX
SZB;Sermaize LES BAINS
SZE;Saincaize
SZG;Salzbourg
SZP;Penhoet
SZR;St BLAISE LA ROCHE POUTAY
SZ;Sezannes
SZX;Sion
SZZ;Sermizelles VEZELAY
TAA;Tamaris
TAE;Tacoignieres RICHEBOURG
TAI;Tain L HERMITAGE - TOURNON
TAL;Tanlay
TAN;Tanus
TAO;Thaon
TAR;Tarare
TAS;Tassin
TAV;Tavaux
TAW;Tavaux - SOLVAY EP
TAY;Tracy SANCERRE
TBS;Trebes
TBU;Treves BUREL
TCE;Tierce
TCH;Tamnay CHATILLON
TCN;Tarascon
TCO;Thiel SUR ACOLIN
TC;Paris TOLBIAC
TCY;Tencin THEYS
TDC;Thedirac TEYRILLES
TDN;Tendron
TD;Trouville DEAUVILLE
TEE;Thiennes
TEH;Le TEICH
TEM;Templeuve
TEO;Tournemire ROQUEFORT
TES;Tessonnieres
TE;Toulouse MATABIAU
TEW;St CYPRIEN ARENES
TFF;Tieffenbach STRUTH
TGR;Tergnier
TG;Tourcoing
THA;Thann
THE;Thouare
THI;Thiers
THL;Thionville
THM;Theoule SUR MER
THN;Thenon
THO;Thonon LES BAINS
THR;Thennelieres
TH;Thouars
THT;Thuret
THU;Thiaucourt
THY;Theillay(LOIR ET CHER)
TIE;Tiercelet VILLERS LA MONTAGNE
TIN;Tincques
TIS;Les TRILLERS
TIV;Thiviers
TK;Kornwestheim PDF
TKM;Turckheim
TLE;Tullins FURES
TLN;Toulon
TLP;Trilport
TLR;Toulouse RAYNAL
TLS;Tillieres
TL;Toul
TMT;Trementines
TNA;Tournai
TNC;Tonnay CHARENTE
TND;Tende
TNJ;Les TINES
TNN;Tonnerre LGV PRS 16
TNO;Turin
TN;Thun
TNT;Thieux NANTOUILLET
TOB;Base LN3 TOURNAN
TOC;Torcy
TOE;Thourotte
TON;Tonneins
TOR;Tournes
TOS;Tournus
TO;Tours
TOU;Tournan
TRA;Trappes
TRC;Tarascon SUR ARIEGE
TRO;Tournon
TRR;Treves
TRS;Terrasson
TR;Troyes
TRT;Trois PUITS
TRY;Tournay HTES PYRENEES
TSL;Trith ST LEGER
TSN;Tressin
TSO;Tessenderlo
TSS;Triel SUR SEINE
TS;Tarbes
TSU;Torino PORTA SUSA
TTE;La TESTE
TTS;Trets
TT;Tricot
TUL;Tulle
TUR;Turenne
TVO;Tra3 - TRAPPES VOYAGEURS
TVR;Tra3 - LA TRINITE-VICTOR
TVY;Taverny
TY;Toury
TZC;Thiezac
TZT;Talizat
UCD;Uchaud
UCK;Uckange
UCY;Urcay
UEI;Eisenach STEDTFELD
UEL;Manduel REDESSAN
UE;Uzerche
UGI;Ugine
ULM;Ulm HBF
UNEC;UnitÉ NATIONALE D'EXPLOITATION DES CONTRAVENTIONS
URL;Ur LES ESCALDES
URM;Urmatt
USS;Ussac
USZ;Ustaritz
U;Ussel
UZE;Uzel
VAA;Varennes SUR 
VAD;Varennes LE GRAND
VAE;Vaux ET CHANTEGRUE
VAH;Vaas
VAI;Vaires
VAJ;Viescamp SOUS JALLES
VAL;Valognes
VAN;Vannes
VAO;La VALBONNE
VAT;Vauvert
VAU;Vaumoise
VA;Vias
VAV;Villeneuve LES AVIGNON
VAY;Vayrac
VBE;Verberie
VBO;Vauboyen
VBT;Vivoin BEAUMONT
VBZ;Villeneuve LES BEZIERS
VCA;Vinca
VCD;Valence D'AGEN
VCE;Valence VILLE
VCH;Versailles-Chantiers
VCL;Vincelles
VCO;Villefrancoeur
VC;Versailles CHANTIERS
VCV;Valence TGV
VCY;Vincey
VDA;Val D'ARGENTEUIL
VDC;Cordes VINDRAC
VDE;Varades ST FLORENT LE VIEIL
VDF;Val DE FONTENAY
VD;Le VERT DE MAISONS
VDL;Villefranche DE LAURAGAIS
VDM;Vendome
VDN;Verdun
VDR;Val DE REUIL
VDS;Villedieu LES POELES
VDT;Vendome TGV
VDY;Veynes DEVOLUY
VEA;Verneuil SUR AVRE
VEB;Vaux EN BUGEY
VEC;Vieuvicq MONTIGNY
VEE;Vermenton
VEG;Vergigny PRS 15
VEH;Villiers NEAUPHLE PONTCH.
VEI;La VERPILLIERE
VEJ;Vendeuvre JORT
VEL;Velaines
VEM;Vernier-MEYRIN CARGO
VEN;Venise
VEP;Villepreux LES CLAYES
VES;Vesoul
VET;Vernouillet VERNEUIL
VEU;Villereversure
VEV;Vervins
VEZ;Varetz
VFD;Viroflay (R.D.)
VFG;Viroflay (R.G.)
VFH;Villefranche SUR MER
VFO;Vierzon FORGES
VGE;Vigeois
VGG;Vignats
VGL;Vert GALANT
VGR;Vaugris
VGS;Vigneux SUR SEINE
VGT;Vignacourt
VGU;Valergues LANSARGUES
VHM;Vendenheim
VHY;Vichy
VIB;Villiers LE BEL GONESSE
VIC;Vic SUR CERE
VID;Villefranche (ALLIER)
VIE;Vienne
VIF;Vif
VIH;Varilhes
VII;Villeparisis
VIL;Villemomble
VIN;Vintimille
VIO;Villenave D'ORNON
VIQ;Viguerat
VIR;Vire
VIS;Villefranche SUR SAONE
VIT;Vittel
VIU;Villers SUR MER
VIV;Vivonne
VIY;Viry
VIZ;Viazac
VJT;Voujeaucourt
VKG;Volklingen
VLA;Velars
VLB;Vallorbe
VLC;Vic LE COMTE
VLD;Villars LES DOMBES
VLE;Villeurbanne
VLF;Villefort
VLG;Villiers ST GEORGES
VLL;Vallon
VLM;Villeneuve LES MAGUELONE
VLN;Velines
VLO;Vallorcine
VLP;Villers LES POTS
VLS;Villiers LE SEC
VLT;Villers BRETONNEUX
VLV;Villeneuve D'AVEYRON
VLY;Valmy
VMD;Valmondois
VMK;Vanves MALAKOFF
VMY;Vimy
VNA;Vinay
VNI;Vernaison
VNL;Verneuil L'ETANG
VNR;Vignory
VNS;Vonnas
VNU;Vandieres
VN;Vernon (EURE)
VNY;Valencay
VOE;Vorey
VOI;Voivres
VOL;Volvic
VON;Valenton
VOP;Val D EUROPE
VOR;Voiron
VOT;Vougeot-GILLY LES CITEAUX
VOU;Voutre
VO;Voves
VOY;Valleroy MOINEVILLE
VPD;Villefranche DU PER.
VPE;Voreppe
VPN;Villepinte
VPQ;Le VESINET LE PECQ RER
VP;Villeneuve-PRAIRIE
VQV;Venerque LE VERNET
VRA;Varangeville ST NICOLAS
VRB;Virieu SUR BOURBRE
VRC;Vercelli
VRD;Versailles (R.D.)
VRG;Versailles-RG-CHATEAU
VRI;Villeneuve LE ROI
VRM;Vrigne MEUSE
VRN;Vern
VRR;Verrey
VRS;Villars
VRU;Virieu LE GRAND-BELLEY
VR;Villefranche DE ROUERGUE
VRZ;Verzeille
VSA;Vic-SUR-AISNE
VSB;Villeneuve ST GEORGES (BV)
VSC;Villefranche SUR CHER
VSG;Villeneuve-TRIAGE
VSH;Vars
VSI;Versigny
VSM;Villiers SUR MARNE
VSP;Visp
VSS;Vernou SUR SEINE
VS;Valenciennes
VSV;Verneuil SUR VIENNE
VSX;Venissieux
VTC;Vestric
VTE;Visite TECHNIQUE D'ECHANGE
VTE;Vitre
VTS;Vertus
VT;Vertou
VTZ;Vertaizon
VUB;Vidauban
VUG;Vielmur SUR AGOUT
VUS;Verdun SUR LE DOUBS
