Abréviation;Définition
DPE;Doyet LA PRESLE
DPL;Direction PROJET DE LIGNE
DPN;Dijon PORTE NEUVE
DPY;Perrigny
DRA;Drap CANTARON
DRI;Diemeringen
DRL;Drulingen
DRN;Drancy
DRS;Drusenheim
DRT;Dercy MORTIERS
DRW;Le DRAMONT
DSM;Dompierre SUR MER
DSN;Declaration SOCIALE NOMINATIVE
DSP;Damiatte ST PAUL
DST;Doncaster
DTM;Duttlenheim
DTN;Dontrien
DTT;Darmstadt
DTX;Le DOUHET ECOYEUX
DU;Dugny
DUN;Dunieres
DUP;Duppigheim
DUR;Durtol NOHANENT
DUS;Dusseldorf
DVC;Devecey
DV;Dives CABOURG
DVI;Deville
DX;Dreux
DZC;Donzenac
DZ;Dieuze
DZE;Decize
EAH;Etainhus ST ROMAIN
EAL;Esch SUR ALZETTE
EAS;Etalans
EBB;Ebblinghem
EBG;Ebange
EBN;Embrun
ECE;Ecouche
ECF;Eichhoffen
ECH;Les ECHETS
ECL;Ernecourt LOXEVILLE
ECO;Ecommoy
ECT;Ecouflant
ECY;Ecully LA DEMI LUNE
ECZ;Ecouen EZANVILLE
EEF;Etriche CHATEAUNEUF
EEN;Erstein
EG;Eguzon
EGL;Egletons
EGV;Engenville
EHR;Ehrang
EHZ;Heuliez
EIN;Einvaux
EIR;Epierre
ELE;Elven
EL;Epinal
ELN;Elne
ELO;Epiry MONTREUILLON
ELY;Egly
EM;Emerainville PONTAULT COMBAULT
EMM;Embermenil
ENA;Senas TGV
ENC;Ennezat CLERLANDE
ENN;Ennevelin
ENS;Entraigues SUR LA SORGUE
ENZ;Entzheim
EPI;Epanvilliers
EPL;Epluches
EPN;Epernon
EPO;Epone MEZIERES
EPR;Epernay
EPS;Epoisses
EPT;Empalot
EPU;Epouville
EPV;Epinay VILLETANEUSE
EPX;Ep KM 14 0
EPY;Epehy
EQ;Escalquens
ERA;Eragny NEUVILLE
ERF;Erstfeld
ERQ;Erquelinnes
ERR;Err
