BEZEICHNUNG_OFFIZIELL;Abkuerzung
Bilten, Gerbi;BIGB
Bigenthal;BIGE
Biberegg;BIGG
Biel/Bienne, Place Guisan;BIGU
Birshollen;BIHN
Binzenhof;BIHO
Biel/Bienne, Heilmann-Strasse;BIHS
Biel/Bienne IW;BIHW
Bilten;BIL
Bilten, Sägestrasse;BILS
Birmensdorf ZH Landikontunnel;BILT
Biel Mett;BIM
Biel Mett (Abzw);BIMA
Biel/Bienne Mettbann;BIMB
Bitsch, Mehrzweckanlage;BIME
Biel/Bienne, Mühle/Moulin;BIMM
Biel Mett Unterwerk (BKW);BIMU
Biel/Bienne, Nidaugasse;BINA
Binningen, Schloss;BINI
Biel/Bienne, Neumarkt/Marché-N;BINM
Bischofszell, Nord AOT;BINO
Biel/Bienne Ost;BIO
Biel/Bienne, Omega;BIOA
Bioggio;BIOG
Bioggio Molinazzo;BIOM
Biel/Bienne, Orpundplatz;BIOP
Biel/Bienne, Diamantstrasse;BIOR
Biel-SA Ent-/Versorgung;BIP80
Bilten, Zentrum;BIPG
Biel/Bienne, Place du Jura;BIPJ
Biel/Bienne, Pont-du-Moulin;BIPM
Biel Produktionsanlage Ost;BIPO
Birmensdorf ZH;BIR
Biel/Bienne RB;BIRB
Biel/Bienne RB mobile Equipe;BIRB56
Biel/Bienne, Renferstrasse;BIRE
Biel/Bienne, Redernweg;BIRG
Birmensdorf Industrie;BIRI
Birr;BIRR
Birchiwaldtunnel;BIRT
Birr Unterwerk (NOK);BIRU
Birmensdorf ZH Kaserne;BIRV
Biel/Bienne RB West;BIRW
Biel/Bienne, Rolex;BIRX
Birs (B);BISB
Bilten, Abzw. Seggenstrasse;BISE
Biel/Bienne, Swiss Tennis;BISI
Biel/Bienne, Stadtpark/Parc mc;BISP
Biel/Bienne, Staufferstrasse;BISR
Bissone (B);BISS
Biberist Ost;BIST
Biberist mobile Equipe G-SR;BIST46
Biel/Bienne Stellwerk;BISW
Biel/Bienne, Taubenloch;BITL
Bitsch;BITS
Bilten, Unterbilten;BIUB
Bilten, Ussbühl;BIUS
Biel/Bienne Unterwerk;BIUW
Biel/Bienne West;BIW
Bitsch-West/Ostausfahrt;BIWE
Biel/Bienne, Zollhaus/Octroi;BIZO
Biel/Bienne, Zentralplatz;BIZP
Brenzikofen;BK
Bätterkinden;BKI
Blausee-Mitholz;BL
Block 45 (B);BL45
Block 47 (B);BL47
Blankenburg;BLB
Blausee BE;BLBE
Bütschwil, Bahnhof;BLBF
Blenio Cent. elettrica (bif);BLCE
Bütschwil, Engi;BLEI
Baldegg;BLG
Baldegg Kloster;BLGK
Bütschwil, Hofwiesen;BLHW
Blickensdorf, Dorf;BLID
Blitzingen Ost;BLIO
Blindleistungskompensator 1;BLK1
Blindleistungskompensator 2;BLK2
Blindleistungskompensator 3;BLK3
Blindleistungskompensator 4;BLK4
Blindleistungskompensator 5;BLK5
Balzers Liechtensteinische KW;BLKW
Ballwil;BLL
Bleien Liebegg;BLN
Blonay;BLON
Bleienbach, Post;BLPO
Bluche-Randogne;BLRA01
Berlingen, Seestrasse/Werft;BLSW
Blumenau;BLU
Bleienbach, Unterdorf;BLUF
Blausee Zement;BLZE
Bauma;BMA
Bauma 94;BMA94
Bauma 95;BMA95
Bauma 96;BMA96
Bauma 97;BMA97
Bauma 98;BMA98
Biel/Bienne,Bf Mett/gare Mâche;BMBF
Biel Mett (Df);BMDF
Bern;BN
Bern Aebimatte BLS;BN05
Bern Depot Lok;BN10
Bern Uh-Anlage;BN25
Bern mobile Equipe;BN56
Bern DR Depot;BN86
Bern GR;BN90
Bern 94;BN94
Bern 95;BN95
Bern 96;BN96
Bern 97;BN97
Bern 98;BN98
Bern Depot Aebimatte;BNAE
Bern  Europaplatz;BNAH
Bern Europaplatz;BNAS
Bern Brünnen Westside;BNB
Bern I-BF-Zentrale;BNBF
Bern, Brunnadernstrasse;BNBR
Bern Bümpliz Süd;BNBS
Bern Brückfeld 16 Gebäude Brü;BNBU
Bern I-BF Betriebswehr;BNBW
Bern Bümpliz Nord;BNBZ
Bern Change;BNCH
Bern I-BF Clean;BNCL
Bern Mittelstr 43 Gebäude D;BND
Bern Donnerbühl;BNDB
Bolken, Dorf;BNDO
Bern Effingerstrasse 15;BNEF
Bern, Egghölzli;BNEG
Bern Felsenau;BNFE
Bern Fischermätteli;BNFI
Bern P-VS-BN-FVP;BNFV
Bussnang;BNG
Werk Stadler Bussnang;BNG05
Bussnang SBB;BNGS01
