BEZEICHNUNG_OFFIZIELL;Abkuerzung
Ibach, Mythen Center;IBMC
Igis;IGIS
Illnau;IL
Illarsaz, village;ILLA
Illarsaz, Sauges;ILLS
Ilanz;ILZ
Immensee;IM
Im Holz;IMHO
Im Holz SBB;IMHO01
Immensee West (Abzw);IMW
Ingolstadt mobile Equipe;IN56
Ins [Gleis 11];INAB
Inkwil, Bahnhof;INBF
Industriequartier (B);IND
Inkwil, Dorf;INDO
In Gassen (Verzw);INGA
Inkwil;INK
Inkwil Wolfachertunnel;INKT
Inkwil (Verzw);INKV
Inkwil Wolfachertunnel West;INKW
Inkwil WolfachertunnelWestRL10;INKX
Innertkirchen MIB;INN
Innertkirchen Grimseltor;INNP
Innertkirchen MIB Ost;INNT
Ins;INS
Ins Dorf;INSD
Intschi;INT
Intragna;INTR
Intschitunnel;INTT
Innertkirchen Unterwasser;INUN
Interlaken Ost;IO
Interlaken Ost UZR;IO20
Interlaken Ost 94;IO94
Interlaken Ost 95;IO95
Interlaken Ost 96;IO96
Interlaken Ost 97;IO97
Interlaken Ost 98;IO98
Interlaken Ost, Bahnhof;IOBF
Interlaken Ost [Gleis 3-4];IOBR
Interlaken Brünig (Gleisende);IOE
Interlaken Ost HW Bönigen;IOHW
Interlaken Ost (See);IOS
Interlaken Ost Technikkab. BLS;IOTK
Ipsach;IP
Ipsach Herdi;IPHE
Iselle di Trasquera;IS
Iseltwald (See);ISEL
Islikon;ISL
L'Isle;ISLE
Isleten-Isenthal;ISLI
Isella-Olgia;ISOL
Ispra;ISPR
Iselle transito;ISTR
Iselle portail tunnel;ISTU
Itingen;IT
Ittigen Löchligut;ITLG
Ittigen bei Bern;ITT
Interlaken West;IW
Interlaken West mobile Equipe;IW56
Interlaken West, Bahnhof;IWBF
Interlaken West Balmholz;IWBH
Interlaken West (See);IWTS
Jakobsbad;JAK
Jaman;JAMA
Jenaz;JAZ
Jestetten;JE
Jegenstorf;JEG
Jestetten Süd;JES
Bern JKLM;JKLM
Jona;JO
La Joy-Clinique;JOCL
Joncherey (FQ);JOFQ
Jonction (Genève);JON
Jona Nord;JONN
Jor;JOR
Jonaschlucht-Tunnel;JOST
Jouxtens-Mézery;JOUM
Jakobstal;JTAL
Jungfraujoch;JU
Kandersteg;KA
Kaiserstuhl AG EW Kabine;KAAE
Kaiserstuhl AG;KAAG
Kaltbrunn;KAB
Kandersteg, Bahnhof;KABF
Kaltbrunn Kabelkabine;KABK
Kandersteg, Blümlisalp;KABL
Kastanienbaum (See);KABM
Kaltenboden (Agl);KABO
Käferberg (B);KAEF
Chäppeli;KAEP
Zürich Käferbergtunnel Mitte;KAET
Kaltenherberg;KAHE
Kaiserstuhl OW;KAI
Kandersteg, Im Kehr;KAIK
Kaisten Ost (Abzw);KAIO
Kaiserstuhl OW ZB;KAIZ01
Kallnach;KAL
Kaltacker, Leumberg;KALB
Kalpetran;KALP
Kalpetran West;KALW
Kaltacker, Ramisberg;KAPO
Karlsruhe mobile Equipe;KAR56
Kassel Rbf mobile Equipe;KARB56
Karlsruhe Gbf mobile Equipe;KARL56
Kassel Hbf Bombardier;KAS05
Kalkofen Tunnel Süd;KATS
Kaiseraugst;KAU
Kandersteg Unterwerk;KAUW
Kandersteg, Victoria;KAVI
Koblenz;KB
Koblenz mobile Equipe Cargo;KB56
Koblenz 94;KB94
Koblenz 95;KB95
Koblenz 96;KB96
Koblenz 97;KB97
Koblenz 98;KB98
Kirchberg SG, Breiti;KBBR
Koblenz Dorf;KBD
Koblenz-Dorf-Ost;KBDO
Koblenz Felsenau;KBFE
Koblenz Grenze;KBGR
Kirchberg SG, Husen;KBHU
Kirchberg SG, Neudorf;KBND
Kalter Boden;KBOD
Koblenz Süd;KBS
Kirchberg SG, Stelz;KBST
Koblenz Tunnel;KBTU
Kaufdorf;KD
Kleindietwil;KDI
Kemptthal;KE
Kehrsiten-Bürgenstock;KEBU
Kehrsiten Dorf;KEDO
Kemptthal Ost (Abzw);KEO
Kerns-Kägiswil;KER
Kernenried;KERD
Kernenried (NBS);KERN
Kerenzerbergtunnel;KERT
Kemptthal West (Abzw);KEW
Konolfingen;KF
Konolfingen mobile Equipe;KF56
Konolfingen Bernerstrasse;KFBS
Kandergrund;KG
Kandergrund, Altels;KGAL
Kandergrund, Bifige;KGBI
Küngoldingen;KGD
Küsnacht Goldbach;KGO
Kandergrund, Post;KGP
Kandergrund, Riegelsee;KGRI
Krattiggraben West;KGTW
Krattighalde;KH
Kehlhof;KHF
Kehlhof Nord;KHFN
Kehlhof SBB;KHFS01
Kehlhof West;KHFW
Kreuzlingen Hafen Grenze;KHGR
Kiesen;KI
Kirchberg-Alchenflüh;KIAL
Kirchberg BE Emmenquerung Ost;KIAO
Kirchberg BE Emmenquerung West;KIAW
Kirchberg-Alchenflüh, Bahnhof;KIBF
Kirchberg BE, Badimatte;KIBM
Kirchberg SG, Post;KIBP
Kirchberg BE, Bütikofenstrasse;KIBS
Kirchbergtunnel;KICT
Kiel SA Lokbereich;KIEL41
Kiel mobile Equipe;KIEL56
Kirchberg BE, Elsässer;KIER
Kirchberg BE, Einkaufszentrum;KIEZ
Kilchberg;KIL
Kirchmatt (Spw);KIM
Kirchberg BE, Grossmatt;KINF
Kirchberg BE, Nyco;KINY
Kipferwald;KIPF
Kirchberg BE, Post;KIPO
Kipfen Ost;KIPT
Kirchberg BE, Rosenweg;KIRG
Kirchweyhe mobile Equipe;KIRW56
Kirchberg BE, Wydenhof;KIWH
Kölliken;KK
Köln Deutzerfeld SA Lokbereich;KKD41
Köln Deutzerfeld mobile Equipe;KKD56
Kölliken Oberdorf;KKO
Kölliken Oberdorf West;KKOW
Kloten;KL
Kloten mobile Equipe;KL56
Kloten Balsberg;KLB
Köln Eifeltor mobile Equipe;KLEU56
Killwangen Heitersbergtunnel O;KLHO
Killwangen Heitersbergtunnel W;KLHW
Klingnau;KLI
Klettgau Landesgrenze;KLLG
Köln mobile Equipe;KLN56
Köln Nippes mobile Equipe;KLNN56
Klosters Platz;KLO
Klosters Dorf;KLOD
Klosters Gäuggeli;KLOG
Kleine Scheidegg;KLS
Klus (B);KLUB
Klus;KLUS
Killwangen-Spreitenbach;KLW
Killwangen Lehnenviadukt;KLWL
Killwangen-Spreitenbach Uwerk;KLWU
Killwangen West (Abzw);KLWW
Zug Chollermüli;KMUE
Kempten;KN
Knonau;KNO
Konstanz;KO
Konstanz 94;KO94
Konstanz 95;KO95
Konstanz 96;KO96
Konstanz 97;KO97
Konstanz 98;KO98
Koblenz (D) mobile Equipe;KOB56
Kohlendreiecktunnel;KODT
Köniz;KOE
Köniz Waldegg (Agl);KOEW
Konstanz Grenze (Abzw);KOGA
Konolfingen Gysenstein;KOGY
Kollbrunn;KOL
Kollermühle (Abzw);KOLM
Koppigen Lutermoos;KOPL
Koppigen Ost;KOPO
Koppigen, Post;KOPT
Kork mobile Equipe;KORK56
Koppigen, Sternen;KOST
Kempraten;KPT
Kreuzlingen;KR
Kreuzlingen 94;KR94
Kreuzlingen 95;KR95
Kreuzlingen 96;KR96
Kreuzlingen 97;KR97
Kreuzlingen 98;KR98
Kradolf;KRA
Kräbel;KRAE
Kreuzlingen Bernrain;KRB
Kreuzlingen, Bahnhof;KRBF
Kreuzlingen Bernrain SBB;KRBS01
Kreuzlibergtunnel;KRET
Kreuzstrasse;KREU
Kreuzlingen Grenze;KRGR
Kreuzlingen Hafen;KRH
Kreuzlingen Hafen mobile Equip;KRH56
Kreuzlingen-Konstanz;KRKO
Kriens Mattenhof;KRM
Kriens Mattenhof ZB;KRMZ01
Krummenau, Restaurant Adler;KRRA
Kreuzlingen Stellwerk;KRSK
Kreuzlingen Telecom;KRTK
Krummenau, Trempel;KRTR
Krummenau;KRU
Kehrsatz;KS
Kölliken Sondermülldeponie;KSMD
Kehrsatz Nord;KSN
Killwangen Tägerhardtunnel;KTTS
Küssnacht am Rigi;KUE
Küblis Ariesch;KUEA
Küblis;KUEB
Küssnacht Merlischachen;KUEM
Küsnacht ZH;KUES
Kufstein mobile Equipe;KUF56
Rotkreuz, Küntwil;KUNT
Küngoldingen, Post;KUPO
Kurzrickenbach Seepark;KURZ
Kesswil;KWL
Kerzers;KZ
Kerzers mobile Equipe;KZ56
Kerzers 94;KZ94
Kerzers 95;KZ95
Kerzers 96;KZ96
Kerzers 97;KZ97
Kerzers 98;KZ98
Kerzers BLS;KZB
Kerzers Papiliorama;KZPP
Kerzers Süd (Abzw);KZS
Kerzers Unterwerk;KZUW
Kerzers West (Abzw);KZW
Lachen;LA
Lancy-Bâtie (bif);LABA
Langnau i.E., Berufsschule;LABE
Langnau i.E., Bahnhof;LABF
Laveno (bif);LABI
La Clef;LACL
Langendorf;LADO
Langendorf SBB;LADO01
Lantsch/Lenz, Vischnanca;LAEB
Lädeli;LAED
Oberhofen a. T., Längenschach.;LAEN
Lätten (B);LAET
La Faverge;LAFA
Läufelfingen ob. Hauensteintun;LAFL
Langenthal Industrie Nord Ausw;LAIA
Lally;LAL
Langenloh;LALO
La Lume Tunnel Nord;LALU
Lamone-Cadempino;LAM
Lamone (c bin);LAMC
Langwiesen;LAN
Langacher (Spw);LANG
Landsweiler-Reden mob Equipe;LANR56
Lantig (Agl);LANT
Lancy-Pont-Rouge (CEVA);LAPP
Lancy-Pont-Rouge;LAPR
La Punt-Chamues-ch;LAPU
Langnau bei Reiden, Feld;LARF
La Large-Journée;LARG
Langnau bei Reiden, Lupfen;LARL
Langnau bei Reiden, Oberdorf;LARO
Lattigen bei Spiez;LAT
Lattrigen;LATR
Längenschachen (See);LATS
Lattenbergtunnel;LATT
Laubach (B);LAUB
Lauterbrunnen;LAUT
Lavorgo;LAV
Lavorgo squadra mobile;LAV56
Laveno-Mombello;LAVE
Lavin;LAVI
Lavorgo Sottocentrale;LAVS
Lavorgo Schutzstrecke;LAVSS
Langwies GR;LAWI
Lamperswil SG;LAWL
Lax;LAX
Lax, Bahnhof;LAXB
Lenzburg;LB
Lenzburg mobile Equipe;LB56
Lenzburg 95;LB95
Lenzburg 96;LB96
Lenzburg 97;LB97
Lenzburg 98;LB98
Les Bayards;LBA
Leissigbad (Agl);LBAD
Leuggelbach, Abzweigung Haslen;LBAN
Laax GR, posta;LBAT
Root D4;LBD
Liebefeld;LBF
Lenzburg Industrie;LBIN
Lauterbrunnen (Seilbahn);LBLM
Linthal Braunwaldbahn (Talst.);LBRB
Lenzburg Seetal;LBSE
Lötschberg-Basistunnel;LBTL
Lerchenbühltunnel;LBUT
Lenzburg West (Abzw);LBW
Löwenberg LCM200;LCM
Le Creux;LCR
Le Landeron;LD
Les Daillettes;LDAI
Landschlacht;LDS
Luzern Dreilindentunnel (Spw);LDT
Leuzigen;LE
Leissigen, Bahnhof;LEBF
Les Bovets;LEBO
Léchelles;LECH
Lécheires (bif);LECR
Lenzerheide/Lai, Post;LEH
Leibstadt;LEI
Leimbach AG;LEIM
Le Lussex;LELX
Lengnau;LEN
Lengwil;LENG
Lengwil SBB;LENG01
Les Nicolets;LENI
Lenk im Simmental;LENK
Lengnau Ost (Abzw);LENO
Lengnau Schutzstrecke;LENSS
Lerchenbühl (Verzw);LERV
Lessoc;LES
Leissigen, Schulhaus;LESH
Leysin-Feydey;LEY
Leysin-Grand-Hôtel;LEYG
Leymen, Station (F);LEYM
Leysin-Village;LEYV
Läufelfingen;LF
Laufenburg;LFG
Laufenburg mobile Equipe;LFG56
Laufenburg 95;LFG95
Laufenburg 96;LFG96
Laufenburg 97;LFG97
Laufenburg 98;LFG98
Laufenburg West;LFGW
Laufen;LFN
Laufen mobile Equipe;LFN46
Laufen 95;LFN95
Laufen 96;LFN96
Laufen 97;LFN97
Laufen 98;LFN98
Lugano;LG
Lugano squadra mobile;LG56
Lugano 95;LG95
Lugano 96;LG96
Lugano 97;LG97
Lugano 98;LG98
Leuggelbach;LGB
Landesgrenze CH-Liechtenstein;LGCL
Lugano FLP;LGFL
Lichtensteig, Hof;LGHF
Lugano Nord;LGN
Lichtensteig, Obertor;LGOT
Lugano-Paradiso;LGP
Lugano GK PV Ticino;LGP2
Lugano Paradiso (c bin);LGPC
Galleria Paradiso;LGPG
Lampenberg-Ramlinsburg;LGRG
Lichtensteig, Rosengarten;LGRN
Lichtensteig, St. Loreto;LGSL
Lichtensteig, Steigrüti;LGSR
Leggistein-Tunnel Wassen (UR);LGST
Lichtensteig, Untertor;LGUR
Löchligut Süd (Abzw);LGUS
Löchligut (Abzw);LGUT
Lugano Vedeggio;LGV
Lugano-Vedeggio squadra mobile;LGV56
Lugano Vedeggio CT;LGVC
Lanzenhäusern;LH
La Heutte;LHE
Lindenholz;LHO
Luino;LI
Luino squadra mobile;LI46
Luino 94;LI94
Luino 95;LI95
Luino 96;LI96
Luino 97;LI97
Luino 98;LI98
Ligerz (Talstation);LIAL
Liestal Adlertunnel Nord;LIAN
Liestal Adlertunnel Süd;LIAS
Linthal, Bebie;LIBB
Linthal, Bahnhof;LIBF
Linthal Braunwaldbahn, Parkpl.;LIBP
Limedi;LIDI
Liebegg;LIEB
Lienz, Dorf;LIEN
Langwies ZH;LIES
Le Lieu;LIEU
Le Lieu TRAVYS;LIEX
Ligerz Festi;LIFE
Ligerz;LIG
Luino FFS;LIM
Linthal;LIN
Linthal 95;LIN95
Linthal 96;LIN96
Linthal 97;LIN97
Linthal 98;LIN98
Linthal Braunwaldbahn;LINB
Linthal (Gleisende);LINE
Ligerz Pilgerweg;LIPI
Linthal, Post;LIPO
Littau;LIT
Leissigbadtunnel Ost;LITO
Litti (Baar);LITT
Litzirüti;LITZ
Littau Littauerboden;LIZI
Leuk;LK
Leukerbad;LKB
Leuk, Bahnhof;LKBF
Leuk KM-Sprung;LKK
Leuk, Kreuzmatten;LKKM
Lalden;LL
La Lance (diag);LLA
Lochmatt (B);LMT
Langnau i.E.;LN
Langnau i.E. mobile Equipe;LN56
Langnau 94;LN94
Langnau 95;LN95
Langnau 96;LN96
Langnau 97;LN97
Langnau 98;LN98
Langnau i.E., Oberfeldstrasse;LNAL
Langnau i.E., Bärenplatz;LNBP
Langnau i.E., Bernstrasse;LNBS
Langnau i.E., Sonnegg;LNCP
Lerchenfeld;LNF
Langnau i.E., Friedhof;LNFH
Langnau i.E., Fansrütistrasse;LNFR
Langnau-Gattikon;LNG
Langnau i.E., Gerbeplatz;LNGP
Langnau i.E., Hotel Emmental;LNHE
Langnau i.E., Hasenknubel;LNHK
Langnau i.E., Hüselmatte;LNHL
Langnau i.E., Hinterdorf Mühle;LNHM
Langnau i.E., Hirschenplatz;LNHP
Langnau i.E., Hübeli;LNHU
Langnau i.E., Ilfis;LNIL
Langnau i.E., Kreuzstrasse;LNKH
Langnau i.E., Knieplatz;LNKP
Langnau i.E., Lindenstrasse;LNLS
Langnau i.E., Mooseggstrasse;LNMG
Langnau i.E., Marktstrasse;LNMS
Langnau i.E., Napfstrasse;LNNS
Langnau i.E., Sonnenfeld;LNSF
Langnau i.E., Sonnweg;LNSW
Neustadttunnel Ost (Vzw);LNTO
Neustadttunnel West (Vzw);LNTW
Langnau i.E., unt. Beichlenstr;LNUB
Locarno;LO
Locarno 94;LO94
Locarno 95;LO95
Locarno 96;LO96
Locarno 97;LO97
Locarno 98;LO98
Locarno S. Antonio;LOAN
Le Locle;LOC
Le Locle 94;LOC94
Le Locle 95;LOC95
Le Locle 96;LOC96
Le Locle 97;LOC97
Le Locle 98;LOC98
Le Locle-Frontière;LOCF
Le Locle TRN;LOCT01
Le Locle [voie 3];LOCY
Lötschen (Abzw);LOET
Muntelier-Löwenberg;LOEW
Lörrach Landesgrenze;LOEX
Lohn-Lüterkofen;LOLU
Lommiswil;LOM
Lommiswil SBB;LOMS01
Lonay-Préverenges;LON
Lonay A (bif);LONA
Lonay B (bif);LONB
Lonato squadra mobile;LONT56
Locarno (fine binario);LOP
Lorraine (B);LORR
Losinger (embr);LOSI
Lopper Schutzstrecke;LOSS
Lottstetten;LOT
Lottstetten Ost;LOTO
Lottstetten West;LOTW
Lotzwil;LOTZ
Lotzwil, Unterdorf;LOUD
La Plaine;LP
La Plaine-Frontière;LPFR
Laupen;LPN
Le Pont TRAVYS-pbr;LPTR
Landquart;LQ
Landquart mobile Equipe;LQ56
Landquart [Gleis 5-8];LQRH
Landquart Ried;LQRI
Landquart Unterwerk;LQUW
Langnau bei Reiden, Käserei;LRKA
Lausanne;LS
Lausanne dépôt loc;LS10
Lausanne SA entretien loc;LS41
Lausanne équipe mobile G-SR;LS46
Lausanne équipe mobile;LS56
Lausanne 94;LS94
Lausanne 95;LS95
Lausanne 96;LS96
Lausanne 97;LS97
Lausanne 98;LS98
La Sarraz;LSA
Les Salines;LSAL
Liesberg;LSB
Lausanne (bif);LSBI
Lausanne Bellerive;LSBL
Liesberg Tunnel Ostportal;LSBO
Lichtensteig SOB;LSBT
Liesberg Tunnel Westportal;LSBW
Lausanne Centre d'Expl. Ouest;LSBZ
Lausanne (Centre d'expl.);LSCE
Lausanne (Centre d'expl);LSCG
Lausanne-Chauderon;LSCH
Lausanne dépôt Ceres;LSDC
Lausanne Est;LSE
Lausanne-Flon;LSFL
Lichtensteig;LSG
Lausanne, gare;LSGA
Lichtensteig Süd (Abzw);LSGS
Lausanne-Flon LEB;LSLE
Lausen;LSN
Lausen Ost;LSNO
Lausanne-Ouchy (lac);LSO
Lausanne, Regio-Bus;LSP
Lausanne Paleyres;LSPA
Lausanne Poste directeur;LSPD
Lausanne (Pully);LSPU01
Leissigen;LSS
Lausanne-Sébeillon;LSSB
Lausanne Sous-marin;LSSM
Leissigen Ost (Spw);LSSO
Liestal Süd (Spw);LSSS
Liestal;LST
Liestal mobile Equipe;LST56
Liestal Adlertunnel (Spw);LSTA
Lausanne TRIDEL;LSTD
Liestal Nord (Abzw);LSTN
Leissigen (See);LSTS
Liestal Adlertunnel;LSTT
Lausanne Villard (Prot.);LSV
Lausanne-Triage;LT
Lausanne-Triage SA entr loc.;LT41
Lausanne-Triage équipe mobile;LT56
Lausanne-Triage A/B;LTAB
Lausanne-Triage B;LTB
Langenthal, Blumenstrasse;LTBE
Langenthal Süd, Bahnhof;LTBF
Langenthal, Bäregg;LTBG
Langenthal, Bleichestrasse;LTBL
Lausanne-Triage C;LTC
Lutry (lac);LTCG
Lausanne-Triage D;LTD
Langenthal, Dennli;LTDE
Langenthal, Dreilinden;LTDR
Lausanne-Triage Est;LTE
Langenthal, Elzmatte;LTEL
Langenthal, Schoren-Eisbahn;LTEN
Langenthal, Elzweg;LTEW
Lausanne-Triage F;LTF
Langenthal GB;LTG
Langenthal, Gaswerkstrasse;LTGA
Langenthal;LTH
Langenthal mobile Equipe;LTH56
Langenthal 94;LTH94
Langenthal 95;LTH95
Langenthal 96;LTH96
Langenthal 97;LTH97
Langenthal 98;LTH98
Langenthal [Gleis 4-5];LTHA
Langenthal, Bahnhof;LTHB
Langenthal Gaswerk;LTHG
Langenthal Industriegleis;LTHI
Langenthaltunnel West;LTHL
Langenthal Ost;LTHO
Langenthal Süd;LTHS
Langenthaltunnel NBS;LTHT
Langenthal, Hardau;LTHU
Langenthal West (Abzw);LTHW
Langenthal, Industrie Nord;LTID
Langenthal Industrie Hard;LTIH
Langenthal Industrie Nord;LTIN
Lausanne-Triage K;LTK
Langenthal, Lindenhof;LTLI
Langenthal, Löwenplatz;LTLO
Langenthal, Mittelstrasse;LTMI
Lausanne-Triage Nord;LTN
Langenthal, Nencki;LTNE
Langenthal, Neuhof;LTNH
Langenthal, Neuhüsli;LTNU
Lausanne-Triage Ouest;LTO
Lausanne-Triage LC3;LTOX
Lausanne-Triage P1;LTP
Langenthal, Passhöchi;LTPI
Langenthal, Rössli;LTRI
Langenthal, Rumimatte;LTRM
Lausanne-Triage Sud;LTS
Lausanne-Triage SALT;LTSA
Langenthal, Schwimmbad;LTSB
Lausanne-Triage sectionnement;LTSE
Langenthal, Schulen Hard;LTSH
Langenthal, Sängeli;LTSI
Langenthal, Schoren-Ochsen;LTSO
Langenthal, Spital;LTSP
Langenthal, Schorenstrasse;LTSS
Langenthal, Tell/Kantonalbank;LTTK
Läufelfingen Hauensteintunnel;LTUN
Langenthal, Wiesenstrasse;LTWE
Langenthal, Waldhof;LTWH
Lutry;LTY
Langenthal, Zelgligasse;LTZE
Langenthal, Zelgli;LTZI
Luchsingen-Hätzingen;LU
Lüderenalp;LUAP
Lucens;LUC
Lüen-Castiel;LUCA
Lucca squadra mobile;LUCC56
Luchsingen, Schulhaus;LUCS
Ludwigshafen (D) mobile Equipe;LUD56
Ludwigshafen SA Lokbereich;LUDB41
Ludwigshafen mobile Equipe;LUDB56
Lütisburg, Dorf;LUDF
Ludwigshafen-Oggers mob Equipe;LUDO56
Ludwigshafen BASF mob Equipe;LUDW56
Lüsslingen;LUE
Lüdem;LUED
Lueg;LUEG
Lütschental;LUEL
Lüneburg mobile Equipe;LUEN56
Lüscherz;LUES
Lütisburg;LUET
Luchsingen, Freihof;LUFH
Lützelflüh-Goldbach;LUGO
Lütisburg, Hirschen;LUHI
Luins Section de protection;LUISS
Luins Unterwerk;LUIUW
Lumino;LUMI
Lustmühle;LUMU
Lungern;LUN
Lungern (Turren-Bahn);LUNO
Lungern ZB;LUNZ01
Lupfig;LUPF
Lupfig mobile Equipe;LUPF56
Lüchingen, Dorf;LUPO
Lussery (B);LUSS
Luterbach-Attisholz;LUT
Lussy FR;LUY
Le Verney (embr);LVE
Lyss;LY
Lyss mobile Equipe;LY56
Lyss 94;LY94
Lyss 95;LY95
Lyss 96;LY96
Lyss 97;LY97
Lyss 98;LY98
Lyss, Bahnhof;LYBA
Lyssach, Bernstrasse (Ikea);LYBS
Lyssach, Bernstrasse West;LYBW
Lyss Fulenmatt;LYFU
Lyss Grien;LYGR
Lyssach, Kernenriedstrasse;LYKS
Lyssach, Lyssachschachen;LYLS
Lyss Nord;LYN
Lyssach;LYS
Lyss Murgeliweg;LYSM
Lyss Holzverladerampe;LYSN
Lyss West (Agl);LYW
Lyss BLS;LYXX
Luzern;LZ
Luzern Depot Lok;LZ10
Luzern Unterhaltszentrum;LZ25
Luzern Ent-/Versorgung;LZ80
Luzern DR;LZ86
Luzern 94;LZ94
Luzern 95;LZ95
Luzern 96;LZ96
Luzern 97;LZ97
Luzern 98;LZ98
Luzern Brünig-Einfahrt (Abzw);LZBE
Luzern, Bahnhof;LZBH
Luzern Bahnhofquai;LZBQ
Luzern Brünig;LZBR
Luzern (BLZ);LZBZ
Luzern Change;LZCH
Luzern Depot;LZD
Luzern Depot Ceres;LZDC
Luzern Einfahrt (Abzw);LZEF
Luzern, Eichhof;LZEH
Luzern Fluhmühle;LZFL
Luzern Cargo;LZGB
Luzern GB Brünig;LZGM
Luzern Gütsch Tunnel;LZGT
Luzern Heimbach;LZHE
Luzern Schönheimtunnel (LU);LZHT
ADI-CBS Luzern;LZIT
Luzern Moosmatte Sternmatt 12;LZMM
Luzern, RAZ;LZP
Luzern Post;LZPO
Luzern SGV;LZS
Seeburg;LZSB
Luzern Seeverlad;LZSE
Luzern Steghof (Abzw);LZSH
Luzern Schwanenplatz (VBL);LZSP
Luzern Schweizerhofquai;LZSQ
Luzern Schulungsräume;LZSR
Luzern Seeburg Tunnel;LZST
Luzern Stadttunnel (LU);LZT
Luzern Tiefbahnhof;LZTB
Tribschen;LZTR
Luzern Verkehrshaus;LZVH
Verkehrshaus-Lido;LZVS
Luzern Einfahrt zb;LZZB
Martigny;MA
Martigny équipe mobile;MA56
Martigny 94;MA94
Martigny 95;MA95
Martigny 96;MA96
Martigny 97;MA97
Martigny 98;MA98
Les Marécottes(Ausgleichbecken;MAAN
Margencel-Anthy-Séchex(F)(lac);MAAS
Martigny-Bourg CT;MABC
Mainz-Bischofsheim mob Equipe;MABI56
Martigny-Bourg;MABO
Maccagno;MAC
Martigny-Combe, Chalet Forêt;MACC
Martigny-Croix;MACR
Galleria Maccagno Inf. Nord;MACX
Madretsch;MAD
Madiswil;MADI
Madulain;MADU
Märwil;MAE
Mägenwil;MAEG
Männedorf;MAEN
Märstetten;MAER
Märwil SBB;MAES01
Mägenwil West (Abzw);MAET
Märwil West;MAEW
Magadino-Vira;MAG
Marbach SG, Gehren;MAGE
Magliaso;MAGL
Maroggia Galleria Nord;MAGN
Magliaso Paese;MAGP
Maroggia Galleria Sud;MAGS
Eidg. Magazine;MAGZ
Mahlenwald;MAH
Mainz mobile Equipe;MAI56
Maiacher;MAIF
Massaboden Kraftwerk;MAKW
Malters;MAL
Malans;MALA
Maliera (B);MALI
Martigny Aluminium (embr);MALU
Lausanne, Malley;MALY
Mammern;MAM
Le Manège;MANE
Mannheim-Friedrichs mob Equipe;MANF56
Mannenbach-Salenstein;MANN
Mannheim Rbf SA Lokbereich;MANR41
Galleria Maroggia;MAOG
Maroggia-Melano;MAR
Le Marais;MARA
Maschen RBF SA Lokbereich;MARB41
Maschen RBF mobile Equipe;MARB56
Les Marches;MARC
Marbach SG, Dorf;MARD
Les Marécottes;MARE
Marbach SG, Ranft;MARN
Marone;MARO
Marrone (dira);MARR
Massongex;MAS
Masans (B);MASA
Mattsand;MASD
Massagno Nord;MASN
Masera;MASR
Malesco;MASS
Mattstetten;MAT
Mattstetten (Abzw);MATA
Matt, Dorf;MATD
Matten;MATE
Martigny [voie 40];MATM
Matt, Station;MATS
Hergiswil Matt;MATT
Hergiswil Matt ZB;MATT01
Mattstetten Aespli;MATX
Matzingen;MATZ
Menznau;MAU
Menznau mobile Equipe;MAU56
Menznau West;MAUW
Mauraz;MAUZ
Martigny-Expo;MAXP
Malleray-Bévilard;MB
Meinisberg, Dorfplatz;MBDP
Mülberg Ost;MBGO
Mülberg West;MBGW
Meinisberg, Niesenstrasse;MBNS
Meinisberg, Rütti;MBRU
Meinisberg, Rosenweg;MBRW
Meinisberg, Unterdorf;MBUD
Monte Ceneri Nord;MCEN
Moudon;MD
Moudon 94;MD94
Moudon 95;MD95
Moudon 96;MD96
Moudon 97;MD97
Moudon 98;MD98
Melide;MDE
Melide Centrale (bif);MDEC
Umrichterwerk Mendrisio;MDFU
Melide Sottocentrale;MDUW
Menziken;ME
Mettlenalp (Napf);MEAP
La Médettaz;MED
Meder (Verzw);MEDE
Melchsee-Frutt (Bergstation);MEF
Melchnau, Fabrik;MEFA
Meggen;MEG
Meggen Lätten Tunnel;MEGE
Meggenmühle (Spw);MEGG
Meggenhorn;MEGH
Melchnau, Gjuch;MEGJ
Menziken Gleisende;MEGL
Meggen Zentrum;MEGZ
Meilibach (Abzw);MEIB
Meisterschwanden, Oberdorf;MEIS
Mellingen;MEL
Gümligen, Melchenbühl (Tram);MELB
Mellingen Heitersberg;MELH
Matteli;MELI
Mellingen Heitersberg Kabine;MELK
Mellikon;MELN
Mels;MELS
Mels mobile Equipe;MELS56
Meggen Lärchenbühl Tunnel;MELT
Mendrisio;MEN
Mendrisio squadra mobile;MEN56
Mendrisio Sud (bif);MENS
Mendrisio centr.commutaz.frequ;MENU
Melchnau, Oberdorf;MEOF
Marin-Epagnier;MEP
Marin-Epagnier équipe mobile;MEP56
Merlischachen;MERL
Merligen (See);MERS
Melchnau, Rotwald;MERW
Merenschwand;MERX
Melzo Scalo squadra mobile;MESC56
Melchnau, Unterdorf;MEUF
Malley (B);MEY
Meyrin (encl.);MEYR
Mezzovico;MEZ
Mezzovico (c bin);MEZC
Mezzovico-Sigirino;MEZS
Maienfeld;MF
Mühlefluh;MFL
Mühlefluh Tunnel;MFLT
Mühlefluh Tunnel Süd;MFLX
Murg;MG
Murg Büeltunnel;MGBT
Mörigen;MGEN
Galleria Maggiagra;MGGG
Galleria Precassino-Meggiagra;MGPG
Murgenthal;MGT
Murgenthal, Bahnhof;MGTB
Mittalgrabentunnel Nord;MGTN
Mittalgrabentunnel Süd;MGTS
