Ort;Haltestelle;Abkürzung
Dresden;Wilschdf.Ind.-gebiet;WIG
Dresden;Wilschdorfer Landstr.;WLS
Dresden;Windmühlenstraße;WND
Dresden;Windmühlenweg;WMW
Dresden;Winterbergstraße;WIN
Dresden;Wittenberger Straße;WIT
Dresden;Wölfnitz;WOL
Dresden;Wölfnitzer Ring;WOR
Dresden;Wostra;WOS
Dresden;Würzburger Straße;WBR
Dresden;Wurzener Straße;WUZ
Dresden;Zachengrundring;ZGR
Dresden;Zeithainer Straße;ZEH
Dresden;Zellescher Weg;ZEL
Dresden;Zinnowitzer Straße;ZNW
Dresden;Zoo;ZOO
Dresden;Zschertnitz;ZTZ
Dresden;Zschertnitzer Straße;ZZN
Dresden;Zschierener Straße;ZSS
Dresden;Zschonergrundstraße;ZSO
Dresden;Zum Windkanal;ZUW
Dresden;Zur Elbinsel;ZEI
Dresden;Zur Neuen Brücke;ZNB
Dresden;Zur Steinhöhe;ZSH
Dresden;Zweibrüderweg;ZWE
Dresden;Zwickauer Straße;ZWU
Dresden;Zwinglistraße;ZWI
Freital;Am Dathepark;ADA
Freital;Burgker Straße;BUR
Freital;Meßweg;MEW
Freital;Schule Kleinnaundorf;SKN
Freital;Steigerstraße;STG
Gombsen;Gombsen;GBS
Gombsen;Neugombsen;NGO
Gompitz;Rudolf-Walther-Straße;RWS
Goppeln;Autobahnmeisterei;ABM
Goppeln;Goppeln;GOP
Graupa;Borsbergstraße;BOB
Graupa;Bonnewitzer Straße;BWS
Graupa;Tschaikowskiplatz;GRA
Graupa;Tiefer Grund;TGR
Heidenau;Dresdner Straße;DRD
Heidenau;Bf. Heidenau;HDN
Heidenau;K.-Kollwitz-Straße;KKS
Kreischa;Haußmannplatz;HAP
Kreischa;Klinikum Kreischa;KLK
Kreischa;Kreischa;KRE
