VKM;UNIQUE;Keeper Name / Halter Name / Nom du détenteur / Название владельца;Country Страна;Status Статус;www.;
MDLOG;MDLOG;MEDLOG LOJİSTİK GEMİCİLİK VE TURİZM A.Ş.;TR;in use;medlog.com.tr;OTIF
MDM;MDM;Eiffage Infra-Lärmschutz GmbH;DE;Revoked;;
MDV;MDV;Meininger Dampflok Verein e.V.;DE;in use;meininger-dampflokverein.de;
MDW;MDW;MEDWAY ITALIA SRL;IT;in use;;
ME;ME;metronom Eisenbahngesellschaft mbH;DE;in use;der-metronom.de;
MEB;MEB;MEB -Bahndienstleistungen GmbH;DE;in use;meb-bahndienstleistungen.de;
MEBMD;MEBMD;MEB-BAHNDIENSTLEISTUNGEN Gmbh;DE;in use;meb-bahndienstleistungen.de;
MEBRO;MEBRO;Mebro Bau- und Industrieservice GmbH;DE;in use;mebro.de;
MECCO;MECCO;MECCOLI;FR;in use;meccoli.fr;
MECDV;MECDV;MECANO SERV SRL;RO;in use;;
MECHA;MECHA;MONTAJES ELÉCTRICOS CHAMORRO, S.A.;ES;in use;mechamorro.com;
MECNO;MECNO;Mecno Service Srl;IT;in use;mecnoservice.com;
MED;MED;MEDWAY - Operador Ferroviário e Logistico de Mercadorias, SA;PT;in use;medway-logistics.com;
MEFRV;MEFRV;Mota-Engil Railways Engineering, S.A.;PT;Revoked;mota-engil.pt;
MEG;MEG;Mitteldeutsche Eisenbahn GmbH;DE;in use;meg-bahn.de;
MEGAL;MEGAL;Leszek Tajer P.H.U. MEGALIFT;PL;in use;megalift.pl;
MEGAM;MEGAM;Mega-Met sp. z o.o.;PL;in use;mega-met.pl;
MEH;MEH;Museumseisenbahn Hamm;DE;in use;;
MEIG;MEIG;Mitteldeutsche Eisenbahninfrastrukturgesellschaft mbH;DE;in use;;
MeJä;MEJA;Meier + Jäggi AG;CH;in use;m-j.ch;OTIF
MEK;MEK;M. E. K. Mitteldeutsche Elektro- und Kabeltiefbau GmbH;DE;in use;mek-le.de;
MEL;MEL;Museums-Eisenbahn-Club Losheim;DE;in use;;
MELVI;MELVI;MONTAJES ELECTRICOS VINAELECTRIC, S.L.;ES;in use;vinaelectric.es;
MEM;MEM;Museums-Eisenbahn Minden e.V;DE;in use;museumseisenbahn-minden.de;
MER;MER;Macquarie European Rail Limited (Luxembourg Branch);LU;Revoked;macquarierail.com;
MERL;MERL;Macquarie European Rail Limited;UK;in use;macquarierail.com;
MERLW;MERLW;Mota-Engil Railways Engineering, S.A.;PT;in use;mota-engil.pt;
MERTZ;MERTZ;Mertzmix mbH & Co. KG;DE;in use;mertzkies.de;
MES;MES;Michael Erhard;DE;in use;;
MESEA;MESEA;MESEA;FR;in use;mesea.fr;
MET;MET;metronom Eisenbahngesellschaft mbH;DE;Revoked;der-metronom.de;
META;META;Metzger & Co GmbH;AT;Revoked;;
METG;METG;Waggonges. Robert Metzger & Co GmbH;DE;in use;;
METRA;METRA;Metrag AG (Sersa Group);CH;Revoked;;OTIF
METRO;METRO;Metro Service A/S;DK;in use;metroservice.dk;
METSA;METSA;Metsä Tissue AB;SE;in use;metsagroup.com;
MEV;MEV;Museumsbahn e.V.;DE;in use;bahnwelt.de;
MEVA;MEVA;MEVA S.A.;RO;in use;meva.ro;
MEVG;MEVG;Mitteldeuche Esenbahn Verkehrsgesellschaft mbH;DE;in use;;
MFAG;MFAG;Müller Gleisbau AG;CH;in use;mueller-gleisbau.ch;OTIF
MFDR;MFDR;MFD Rail GmbH;CH;in use;mfdrail.ch;OTIF
MFERS;MFERS;M. FERRICOS9, S.L.;ES;in use;mferricos9sl.com;
MFI;MFI;M.F.I;FR;in use;;
MFÖSJ;MFOSJ;Museiföreningen Östra Skånes Järnvägar;SE;in use;mfosj.se;
MFPN;MFPN;Matériel Ferroviaire Patrimoine National;FR;in use;mfpn.fr;
MG;MG;Ferrovia Monte Generoso SA;CH;in use;montegeneroso.ch;OTIF
MGB;MGB;Matterhorn Gotthard Bahn Verkehrs AG;CH;in use;mgbahn.ch;OTIF
MGBG;MGBG;„EC EHД ЕC - ЕМ ДЖИ” ЕООД;BG;in use;;
MGLGS;MGLGS;MAIRON GALATI SA;RO;in use;rcelormittal.com;
MGP;MGP;MÁV Vasútépítő - Gépellátó és Szolgáltató Kft.;HU;in use;;
MGRL;MGRL;Meridian Generic Rail Limited;UK;in use;mgrl.co.uk;
