Linie;Streckenverlauf;Verkehrsmitteltext;Kompakte Liniennummer
247;Schorndorf Bf - Grauhalde - Alte Steige - Neuer Friedhof - Bf Schorndorf Bahnhof - Grauhalde - Alte Steige - Neuer Friedhof - Bahnhof;5 - Bus;31-247-j18
248;Schorndorf - Urbach - Plüderhausen;5 - Bus;31-248-j18
249;Schorndorf - Urbach Banrain - Urbach Bf;5 - Bus;31-249-j18
250;(Welzheim -) Walkersbach - Waldhausen;5 - Bus;31-250-j18
251;Ferienflitzer: Welzheim - Rudersberg;5 - Bus;31-251-j18
257;Welzheim - Cronhütte;5 - Bus;31-257-j18
258;Welzheim - Vorderhundsberg - Langenberg - Edelmannshof - Obersteinenberg;5 - Bus;31-258-j18
259;Welzheim ZOB - Mannholz - Rienharz - Welzheim ZOB;5 - Bus;31-259-j18
260;Schorndorf - Oberberken - Adelberg - Göppingen;5 - Bus;31-260-j18
261;Göppingen -  Bünzwangen - Ebersbach (F);5 - Bus;31-261-j18
262;Plochingen - Reichenbach (F) - Schorndorf;5 - Bus;31-262-j18
263;Schorndorf - Welzheim - Kaisersbach - Althütte;5 - Bus;31-263-j18
265;Schorndorf - Rudersberg - Welzheim - Kaisersbach - Althütte - Rudersberg - Schorndorf;5 - Bus;31-265-j18
266;Schwäbisch Gmünd - Alfdorf - Welzheim;5 - Bus;31-266-j18
268;Alfdorf - Pfahlbronn - Lorch;5 - Bus;31-268-j18
269;Alfdorf - Vordersteinenberg;5 - Bus;31-269-j18
310;Winnenden - Buoch - Grunbach (Fahrrad2Go);5 - Bus;31-310-j18
331;Winnenden - Breuningsweiler - Lehnenberg - Steinach;5 - Bus;31-331-j18
332;Hertmannsweiler - Winnenden - Rems-Murr-Klinikum -  Schelmenholz - Hanweiler;5 - Bus;31-332-j18
334;Schelmenholz - Winnenden - Leutenbach - Weiler z. Stein;5 - Bus;31-334-j18
335;Rems-Murr-Klinikum- Winnenden - Leutenbach -  Nellmersbach (- Backnang);5 - Bus;31-335-j18
336;Winnenden - Birkmannsweiler - Erlenhof - Oppelsbohm;5 - Bus;31-336-j18
337;Winnenden - Bürg - Oppelsbohm;5 - Bus;31-337-j18
338;Erlenhof - Kottweil - Ödernhardt - Erlenhof;5 - Bus;31-338-j18
340;(Hertmannsweiler -) Baach - Höfen - Birkmannsweiler - Winnenden;5 - Bus;31-340-j18
360;Sachsenweiler - Backnang - Rietenauer Weg  (- Lerchenäcker);5 - Bus;31-360-j18
361;Heiningen - Backnang - Steinbach ;5 - Bus;31-361-j18
362;Sachsenweiler - Backnang - Tausgymnasium;5 - Bus;31-362-j18
362A;Sachsenweiler - Steinbach - Backnanger Schulen (Schülerverkehr);5 - Bus;31-362-a-j18
363;Backnang - Oberschöntal - Unterschöntal - Backnang;5 - Bus;31-363-j18
364;Backnang - Großaspach - Rielingshausen - Marbach;5 - Bus;31-364-j18
365;Backnang - Unterweissach - Oberbrüden;5 - Bus;31-365-j18
365A;Bildungszentrum Weissach i.T. - Oberbrüden (Schülerverkehr);5 - Bus;31-365-a-j18
366;Backnang - Steinbach - Oberbrüden - Unterbrüden - Lippoldsweiler - Hohnweiler;5 - Bus;31-366-j18
367;Backnang - Großaspach - Kleinaspach;5 - Bus;31-367-j18
367A;Backnang - Großaspach - Kleinaspach (Schülerverkehr);5 - Bus;31-367-a-j18
368;Backnang - Staigacker;5 - Bus;31-368-j18
368A;Strümpfelbach - Tausschule (Schülerverkehr);5 - Bus;31-368-a-j18
369;Backnang ZOB - Industriegebiet Süd;5 - Bus;31-369-j18
370;Backnang ZOB - Biegel - Gartenstraße - Murrbäder ;5 - Bus;31-370-j18
372;Murrhardt - Grab - Großerlach - Mainhardt (inkl. Limesbus Nord) Murrhardt - Grab - Großerlach - Mainhardt;5 - Bus;31-372-j18
373;Murrhardt - Klingen - Sechselberg - Mettelberg - Murrhardt Murrhardt - Klingen - Fautspach - Mettelbg. - Murrhardt;5 - Bus;31-373-j18
373A;Waltersberg - Murrhardt;5 - Bus;31-373-a-j18
374;Murrhardt - Siegelsberg -  Hinterbüchelberg - Waltersberg - Murrhardt Murrhardt - Hinterbüchelberg / Mannenweiler Murrhardt - Hinterbüchelberg / Mannenweiler - Murrhardt;5 - Bus;31-374-j18
375;Murrhardt - Fornsbach - Kirchenkirnberg - Kaisersbach - Welzheim (inkl. Limesbus mit Fahrradanhänger);5 - Bus;31-375-j18
376;Murrhardt - Grab - Großerlach - Mainhardt - Sulzbach (M) - Murrhardt (Limesbus Nord);5 - Bus;31-376-j18
