Abk;Name;UIC
OB;Oberhausen Hbf;8000286
OBRO;Rödermark-Ob.Roden;8000285
OD;Bad Oldesloe;8000023
OEB;Oebisfelde;8010261
OERL;Oerlinghausen;8004630
OF;Offenbach(Main)Hbf;8000349
OG;Offenburg;8000290
OHA;Osterode(Harz);8004704
OKZ;Oberkotzau;8000287
OL;Oldenburg(Oldb);8000291
OLD;Oldenburg(Holst);8004669
OO;Oberoderwitz;8010259
ORTR;Ortrand;8012565
OS;Osnabrück Hbf;8000294
OST;Osterburken;8000295
P;Potsdam Hauptbahnhof = Potsdam Stadt;8012666
PA;Passau Hbf;8000298
PB;Paderborn Hbf;8000297
PEG;Pegnitz;8004759
PEGA;Pegau;8010269
PEI;Peitz;8012620
PEN;Penig;8013488
PF;Pforzheim Hbf;8000299
PIR;Pirna;8010272
PL;PLAUEN;8096005
PLAT;Plattling;8000301
PLO;Plochingen;8000302
PLTH;Plaue(Thür);8010274
PPIR;Potsdam Pirschheide;8010279
PRIB;Priemerburg;8010284
PRIE;Priestewitz;8010285
PRO;Probstzella;8010288
PRWK;Pritzwalk;8010287
PS;Pirmasens Nord;8000876
PULS;Pulsnitz;8012685
PUMS;Puttgarden(MS);8000079
PUTT;Puttgarden;8004903
PW;Pasewalk;8010268
PZ;Prenzlau;8010282
QFT;Querfurt;8010291
QLB;Quedlinburg;8010290
R;Regensburg Hbf;8000309
RA;Rastatt;8000306
RCOL;Reichenbach(Ol);8012738
RD;Rendsburg;8000312
RDW;Radebeul West;8010293
RE;Recklinghausen Hbf;8000307
REM;Remagen;8000310
RENN;Renningen;8000313
RHED;Rheda-Wiedenbrück;8000315
RHEI;Rheine;8000316
RHH;Rheinhausen;8000317
RIE;Riesa;8010297
RL;Rochlitz(Sachs);8010298
RN;Rathenow;8010296
RO;Rosenheim;8000320
ROBL;Röblingen am See;8010299
ROHR;Rohrbach(Saar);8000319
RONN;Ronneburg(Thür);8010301
ROTT;Rottenbach;8010305
ROW;Rotenburg(Wümme);8000321
RS;Remscheid Hbf;8005033
RSL;Roßlau(Elbe);8010302
RSW;Roßwein;8010303
RT;Reutlingen Hbf;8000314
RU;Rudolstadt(Thür);8010306
RUHL;Ruhland;8010308
RW;Rottweil;8000322
RY;Rheydt Hbf;8000318
S;Stuttgart Hbf;8000096
SAD;Schwandorf;8000027
SALZ;Salzburg Hbf;8005263
SAW;Salzwedel;8010310
SB;Saarbrücken Hbf;8000323
SBG;Strasburg(Uckerm);8010339
SBK;Schönebeck(Elbe);8010318
SCHG;Schöna(Gr);8010316
SCHH;Schaffhausen;8000024
SCHM;Schwelm;8000033
SCHW;Schwerte(Ruhr);8000037
SDH;Sondershausen;8010329
SDL;Stendal;8010334
SECK;Seckach;8000042
SEES;Seesen;8000043
SFB;Senftenberg;8010327
SFT;Staßfurt;8010332
SG;Solingen-Ohligs;8000087
SGH;Sangerhausen;8010312
SGM;Schwäbisch Gmünd;8000329
SHA;Schwäb.Hall-Hessent;8000330
SHL;Suhl;8010345
SHS;Schönhausen(Elbe);8010321
SI;Siegen;8000046
SIF;Schifferstadt;8000326
SIG;Sigmaringen;8000069
SIHA;Siershahn;8000060
SIMB;Simbach(Inn);8000072
SIN;Singen(Hohentwiel);8000073
SINS;Sinsheim(Elsenz);8005578
SLB;Sandersleben(Anh);8010311
SLF;Saalfeld(Saale);8010309
SLN;Schmölln(Thür);8012889
SLZ;Bad Salzungen;8010021
SM;Schmalkalden;8010315
SN;Schwerin Hbf;8010324
SO;Soest;8000076
SOEM;Sömmerda;8010328
SOL;Soltau(Han);8000088
SON;Sonneberg(Thür)Hbf;8013008
SPB;Spremberg;8010330
SR;Straubing;8000095
SSW;Seelingst(Werdau);8012971
STD;Stade;8000089
STEI;Steinach(b Rothenb);8000091
STF;Straußfurt;8010342
STHM;Stockheim(Oberhess);8000347
STLB;Stollberg(Sachs);8010337
STOL;Stolpen;8013057
SUL;Sulingen(Han);8000109
SW;Schweinfurt Hbf;8000032
SWAA;Schwaan;8010322
SWB;Schwarzenberg(Erzg);8010323
SZRI;Salzgitter-Ringelh.;8000325
TANG;Tantow(Gr);8010346
TBZ;Treuenbrietzen;8013145
TEU;Teuchern;8010349
THEM;Themar;8010350
THH;Thalheim(Erzgeb);8013113
TP;Templin;8010347
TR;Trier Hbf;8000134
TREU;Treuchtlingen;8000122
TREY;Treysa;8000129
TRIP;Triptis;8010352
TROI;Troisdorf;8000135
TS;Traunstein;8000116
TUE;Tübingen Hbf;8000141
TUEH;Türkheim(Bay)Bf;8000144
TUEM;Türkismühle;8000154
TUT;Tuttlingen;8000163
UCKR;Luckau-Uckro;8010353
UE;Uelzen;8000168
UL;Ulm Hbf;8000170
UN;Unna;8000171
VIBG;Vitzenburg;8010356
VIE;Viersen;8000174
VIEN;Vienenburg;8000364
VK;Völklingen;8000175
VS;Villingen(Schwarzw);8000366
W;Wuppertal Hbf;8000266
WAB;Wabern(Bz Kassel);8000368
WAF;Warendorf;8006206
WAL;Wallau(Lahn);8000187
WALK;Walkenried;8006172
WAN;Wanne-Eickel Hbf;8000192
WAR;Warburg(Westf);8000196
WB;Lutherst Wittenberg;8010222
WBE;Wittenberge;8010382
WBG;Wiesenburg(Mark);8010376
WBR;Wüstenbrand;8010388
WDA;Werdau;8010372
WDH;Waldheim;8010359
WE;Weimar;8010366
WEB;Westerburg;8000245
WEBG;Wechselburg;8010363
WEET;Weetzen;8000342
WEID;Weida;8010365
WEIL;Weil der Stadt;8006271
WEL;Weilburg;8000218
WELI;Weischlitz;8010367
WEN;Weiden(Oberpf);8000204
WERH;Werder(Havel);8010373
WERN;Werneuchen;8013285
WERT;Wertheim;8000231
WES;Wesel;8000242
WEST;Westerland(Sylt);8006369
WETZ;Wetzlar;8000383
WF;Wolfenbüttel;8000255
WHSN;Wernshausen;8010375
WI;Wiesbaden Hbf;8000250
WIBI;Wiesbaden-Biebrich;8000288
WIT;Witten Hbf;8000251
WITT;Wittingen;8000344
WK;Wittstock(Dosse);8010384
WM;Weilheim(Oberbay);8000220
WN;Waiblingen;8000180
WO;Worms Hbf;8000257
WOB;Wolfsburg;8006552
WOE;Wörth(Rhein);8000254
WRN;Waren(Müritz);8010361
WSF;Weißenfels;8010368
WTH;Wilthen;8010380
WTU;Wethau;8013296
WUE;Würzburg Hbf;8000260
WUED;Wünschendorf;8010387
WUM;Wustermark;8010389
WUN;Wunsiedel-Holenbrunn;8000173
WUNS;Wunstorf;8000268
WW;Weißwasser(Ol);8010370
WZB;Wolnzach Bahnhof;8000256
WZN;Wriezen;8010386
Z;Zwickau(Sachs)Hbf;8010397
ZBG;Zörbig;8013417
ZE;Zerbst;8013389
ZEUL;Zeulenroda unt Bf;8013396
ZI;Zittau;8010393
ZME;Zella-Mehlis;8010391
ZS;Zossen;8010395
ZZ;Zeitz;8010390
