BANENR;TIB;HVDSTRK;STRKAFS;TRINBRAET;NAVN;FORKORTELSE;FRAKM;TILKM;STATIONSMIDTE;BANEKLASSE;BTRTYPE;BEMAERKNING;SORT_ORDER;FILTER
23b;23;23;236093;;Hørning;Hx;92,711;94,8;94,234;Hovedbane;Station;;249;STED
23b;23;23;236096;;Hørning - Aarhus H;Hx-Ar;94,8;105,068;;Hovedbane;Fri Bane;;250;3
23b;23;23;236096;236103;Viby Jylland;Vi;;;103,744;Hovedbane;Trinbræt;;252;STED
23b;23,24,36,37;23;237000;;Aarhus H;Ar;105,068;111,29;108,478;Hovedbane;Station;;253;STED
24;24;24;242112;;Aarhus H - Brabrand;Ar-Br;111,29;114,314;;Hovedbane;Fri Bane;;254;3
24;24;24;242115;;Brabrand;Br;114,314;115,863;115,185;Hovedbane;Teknisk Station;;255;STED
24;24;24;242116;;Brabrand - Mundelstrup;Br-Mu;115,863;121,815;;Hovedbane;Fri Bane;;256;3
24;24;24;242123;;Mundelstrup;Mu;121,815;123,298;122,375;Hovedbane;Teknisk Station;;257;STED
24;24;24;242124;;Mundelstrup - Hinnerup;Mu-Hn;123,298;130,942;;Hovedbane;Fri Bane;;258;3
24;24;24;242131;;Hinnerup;Hn;130,942;132,719;131,752;Hovedbane;Station;;259;STED
24;24;24;242134;;Hinnerup - Hadsten;Hn-Ha;132,719;140,472;;Hovedbane;Fri Bane;;260;3
24;24;24;242141;;Hadsten;Ha;140,472;141,743;141,129;Hovedbane;Station;;261;STED
24;24;24;242142;;Hadsten - Langå;Ha-Lg;141,743;153,425;;Hovedbane;Fri Bane;;262;3
24;24,32;24;243000;;Langå;Lg;153,425;155,253;154,3;Hovedbane;Station;;263;STED
71;24;24;244156;;Langå - Stevnstrup;Lg-Ste;155,253;160,48;;Hovedbane;Fri Bane;;264;3
71;24;24;244161;;Stevnstrup;Ste;160,48;162;161;Hovedbane;Teknisk Station;;265;STED
71;24;24;244162;;Stevnstrup - Randers;Ste-Rd;162;166,973;;Hovedbane;Fri Bane;;266;4
71;24;24;244167;;Randers;Rd;166,973;168,9;167,695;Hovedbane;Station;;267;STED
71;24;24;244170;;Randers - Fårup;Rd-Fp;168,9;181,47;;Hovedbane;Fri Bane;;268;3
71;24;24;244183;;Fårup;Fp;181,47;183,4;182,418;Hovedbane;Teknisk Station;;269;STED
71;24;24;244184;;Fårup - Hobro;Fp-Hb;183,4;198,099;;Hovedbane;Fri Bane;;270;3
71;24;24;245000;;Hobro;Hb;198,099;199,555;198,965;Hovedbane;Station;;271;STED
71;24;24;246200;;Hobro - Skørping;Hb-Sø;199,555;221,39;;Hovedbane;Fri Bane;;272;3
71;24;24;246200;246215;Arden;Ad;;;214,487;Hovedbane;Trinbræt;;273;STED
71;24;24;246221;;Skørping;Sø;221,39;223,324;222,05;Hovedbane;Station;;274;STED
71;24;24;246224;;Skørping - Ellidshøj;Sø-Eh;223,324;233,052;;Hovedbane;Fri Bane;;275;3
71;24;24;246224;246229;Støvring;Sr;;;229,519;Hovedbane;Trinbræt;;276;STED
71;24;24;246233;;Ellidshøj;Eh;233,052;234,676;234,062;Hovedbane;Teknisk Station;;277;STED
71;24;24;246236;;Ellidshøj - Aalborg;Eh-Ab;234,676;245,62;;Hovedbane;Fri Bane;;278;3
71;24;24;246236;246239;Svenstrup Jylland;Sn;;;239,231;Hovedbane;Trinbræt;;279;STED
71;24;24;246236;246245;Skalborg;Og;;;244,144;Hovedbane;Trinbræt;;280;STED
71;24,25;24;247000;;Aalborg;Ab;245,62;250,155;248,36;Hovedbane;Station;;281;STED
71;25;24;247000;247249;Aalborg Vestby;Abv;;;249,619;Hovedbane;Trinbræt;;282;STED
71;;24;247901;;Aalborg Havn;Abh;;;;Hovedbane;Teknisk Station;;283;STED
25;25;25;252250;;Aalborg - Lindholm;Ab-Lih;250,155;250,63;;Regionalbane;Fri Bane;;284;3
25;25;25;252251;;Lindholm;Lih;250,63;252,2;251,35;Regionalbane;Station;;285;STED
25;25,1025;25;252254;;Lindholm - Sulsted;Lih-Su;252,2;262,881;;Regionalbane;Fri Bane;;286;4
25;1025;25;252263;;Sulsted;Su;262,881;264,53;263,4;Regionalbane;Teknisk Station;;287;STED
25;1025;25;252266;;Sulsted - Brønderslev;Su-Bl;264,53;274,353;;Regionalbane;Fri Bane;;288;3
25;1025;25;252275;;Brønderslev;Bl;274,353;276,071;274,88;Regionalbane;Station;;289;STED
25;1025;25;252278;;Brønderslev - Vrå;Bl-Vr;276,071;284,151;;Regionalbane;Fri Bane;;290;3
25;1025;25;252285;;Vrå;Vr;284,151;285,76;284,665;Regionalbane;Station;;291;STED
25;1025;25;252286;;Vrå - Hjørring;Vr-Hj;285,76;295,809;;Regionalbane;Fri Bane;;292;3
25;1025;25;253000;;Hjørring;Hj;295,809;297,479;296,625;Regionalbane;Station;;293;STED
25;1025;25;254298;;Hjørring - Sindal;Hj-Sa;297,479;309,199;;Regionalbane;Fri Bane;;294;3
25;1025;25;254298;254299;Hjørring Øst;Hjø;;;297,836;Regionalbane;Trinbræt;Ibrugtagningsdato ukendt;295;STED
25;1025;25;254309;;Sindal;Sa;309,199;310,701;310,2;Regionalbane;Station;;296;STED
25;1025;25;254312;;Sindal - Kvissel;Sa-Kv;310,701;322,999;;Regionalbane;Fri Bane;;297;3
25;1025;25;254312;254317;Tolne;To;;;317,4;Regionalbane;Trinbræt;;298;STED
25;1025;25;254323;;Kvissel;Kv;322,999;324,55;323,798;Regionalbane;Station;;299;STED
25;1025;25;254326;;Kvissel - Frederikshavn;Kv-Fh;324,55;331,95;;Regionalbane;Fri Bane;;300;3
25;1025;25;255000;;Frederikshavn;Fh;331,95;333,399;333,337;Regionalbane;Station;;301;STED
26;26;26;262004;;Fredericia - Taulov;Fa-Tl;2,205;5,994;;Hovedbane;Fri Bane;;302;3
26;1,26;26;262009;;Taulov;Tl;5,994;9,662;8,64;Hovedbane;Station;;303;STED
26;1,26;26;262509;;Taulov kombiterminal;Tlk;6,185;7,932;;Hovedbane;Kombiterminal;;304;STED
26;26;26;262010;;Taulov - Kolding;Tl-Kd;9,662;18,55;;Hovedbane;Fri Bane;;305;3
26;26;26;262019;;Kolding;Kd;18,55;20,908;19,905;Hovedbane;Station;;306;STED
26;26;26;262022;;Kolding - Lunderskov;Kd-Lk;20,908;31,6;;Hovedbane;Fri Bane;;307;3
26;26,29;26;263000;;Lunderskov;Lk;31,6;33,716;32,788;Hovedbane;Station;;308;STED
98;26;26;264034;;Lunderskov - Vamdrup;Lk-Vm;33,716;37,843;;Hovedbane;Fri Bane;;309;3
98;26;26;264039;;Vamdrup;Vm;37,843;39,98;38,822;Hovedbane;Station;;310;STED
98;26;26;264040;;Vamdrup - Farris;Vm-Fz;39,98;42,612;;Hovedbane;Fri Bane;;311;3
98;26;26;264043;;Farris;Fz;42,612;44,372;43,76;Hovedbane;Teknisk Station;;312;STED
98;26;26;264046;;Farris - Sommersted;Fz-Sst;44,372;50,563;;Hovedbane;Fri Bane;;313;3
98;26;26;264051;;Sommersted;Sst;50,563;52,315;51,822;Hovedbane;Teknisk Station;;314;STED
98;26;26;264054;;Sommersted - Vojens;Sst-Oj;52,315;57,52;;Hovedbane;Fri Bane;;315;4
98;26;26;265000;;Vojens;Oj;57,52;60,024;59,217;Hovedbane;Station;;316;STED
98;26;26;266062;;Vojens - Rødekro;Oj-Rq;60,024;78,217;;Hovedbane;Fri Bane;;317;3
98;26;26;266079;;Rødekro;Rq;78,217;80,731;79,568;Hovedbane;Station;;318;STED
98;26;26;266084;;Rødekro - Tinglev;Rq-Te;80,731;93,732;;Hovedbane;Fri Bane;;319;3
98;26,28;26;267000;;Tinglev;Te;93,732;96,2;95,242;Hovedbane;Station;;320;STED
99;26;26;268098;;Tinglev - Vejbæk;Te-Vk;96,2;101,9;;Hovedbane;Fri Bane;;321;3
99;26;26;268103;;Vejbæk;Vk;101,9;103,615;102,972;Hovedbane;Teknisk Station;;322;STED
99;26;26;268104;;Vejbæk - Padborg;Vk-Pa;103,615;108,349;;Hovedbane;Fri Bane;;323;3
99;;26;269500;;Padborg kombiterminal;Pak;107,914;108,679;;Hovedbane;Kombiterminal;;324;STED
99;26;26;269000;;Padborg;Pa;108,349;110,641;109,69;Hovedbane;Station;;325;STED
27;1;27;271216;;Snoghøj - Taulov;Sno-Tl;216,569;220,05;;Hovedbane;Fri Bane;;327;4
28;28;28;281000;;Sønderborg;Sdb;0;1,108;0;Regionalbane;Station;;328;STED
28;28;28;282002;;Sønderborg - Gråsten;Sdb-Gst;1,108;15,65;;Regionalbane;Fri Bane;;329;4
28;28;28;282015;;Gråsten;Gst;15,65;16,972;16,264;Regionalbane;Station;;330;STED
28;28;28;282018;;Gråsten - Tinglev;Gst-Te;16,972;40,355;;Regionalbane;Fri Bane;;331;4
28;28;28;282018;282031;Kliplev;Kw;;;31,3;Regionalbane;Trinbræt;;332;STED
29;29;29;292002;;Lunderskov - Vejen;Lk-Vn;0,727;10,71;;Hovedbane;Fri Bane;;333;3
29;29;29;292011;;Vejen;Vn;10,71;12,901;11,555;Hovedbane;Station;;334;STED
29;29;29;292014;;Vejen - Holsted;Vn-Hq;12,901;24,642;;Hovedbane;Fri Bane;;335;3
29;29;29;292014;292019;Brørup;Bp;;;19,412;Hovedbane;Trinbræt;;336;STED
29;29;29;292025;;Holsted;Hq;24,642;26,588;25,88;Hovedbane;Station;;337;STED
29;29;29;292028;;Holsted - Bramming;Hq-Bm;26,588;38,218;;Hovedbane;Fri Bane;;338;3
29;29;29;292028;292033;Gørding;Gø;;;33,28;Hovedbane;Trinbræt;;339;STED
29;29,30;29;293000;;Bramming;Bm;38,218;40,023;39,271;Hovedbane;Station;;340;STED
97;29;29;294042;;Bramming - Tjæreborg;Bm-Tb;40,023;46,673;;Hovedbane;Fri Bane;;341;3
97;29;29;294047;;Tjæreborg;Tb;46,673;48,425;47,387;Hovedbane;Station;;342;STED
97;29;29;294050;;Tjæreborg - Esbjerg;Tb-Es;48,425;54,814;;Hovedbane;Fri Bane;;343;3
97;29,31;29;295000;;Esbjerg;Es;54,814;56,269;55,7;Hovedbane;Station;;344;STED
97;;29;295901;;Esbjerg Havn;Esh;;;;Hovedbane;Teknisk Station;;345;STED
94;30;30;302002;;Bramming - Gredstedbro;Bm-Gs;0,801;7,659;;Lokalbane I;Fri Bane;;346;3
94;30;30;302002;302005;Sejstrup;Sej;;;4,2;Lokalbane I;Trinbræt;;347;STED
94;30;30;302007;;Gredstedbro;Gs;7,659;9,127;8,464;Lokalbane I;Station;;348;STED
94;30;30;302010;;Gredstedbro - Ribe;Gs-Rb;9,127;15,465;;Lokalbane I;Fri Bane;;349;3
94;30;30;302010;302015;Ribe Nørremark;Rbn;;;15,3;Lokalbane I;Trinbræt;;350;STED
94;30;30;302017;;Ribe;Rb;15,465;17,405;16,697;Lokalbane I;Station;;351;STED
95;30;30;302018;;Ribe - Skærbæk;Rb-Æk;17,405;36,059;;Lokalbane II;Fri Bane;;352;3
95;30;30;302018;302023;Hviding;Vd;;;23,2;Lokalbane II;Trinbræt;;353;STED
95;30;30;302018;302029;Rejsby;Rej;;;28,2;Lokalbane II;Trinbræt;;354;STED
95;30;30;302018;302033;Brøns;Brr;;;32,2;Lokalbane II;Trinbræt;;355;STED
95;30;30;302037;;Skærbæk;Æk;36,059;37,492;36,735;Lokalbane II;Station;;356;STED
95;30;30;302038;;Skærbæk - Bredebro;Æk-Bw;37,492;48,563;;Lokalbane II;Fri Bane;;357;3
95;30;30;302038;302043;Døstrup Sønderjylland;Ds;;;42,12;Lokalbane II;Trinbræt;;358;STED
95;30;30;302049;;Bredebro;Bw;48,563;49,642;48,99;Lokalbane II;Station;;359;STED
95;30;30;302050;;Bredebro - Tønder;Bw-Tdr;49,642;63,325;;Lokalbane II;Fri Bane;;360;3
95;30;30;302050;302055;Visby;Vis;;;54,52;Lokalbane II;Trinbræt;;361;STED
95;30;30;302050;302061;Tønder Nord;Trn;;;63,3;Lokalbane II;Trinbræt;;362;STED
95;30;30;303000;;Tønder;Tdr;63,325;65,061;63,939;Lokalbane II;Station;;363;STED
96;30;30;304066;;Tønder - Tønder Grænse;Tdr-Tdgr;65,061;67,844;;Lokalbane II;Fri Bane;;364;4
90;31;31;312058;;Esbjerg - Guldager;Es-Gu;56,269;62,574;;Lokalbane I;Fri Bane;;366;3
90;31;31;312058;312059;Spangsbjerg;Esn;;;58,2;Lokalbane I;Trinbræt;;367;STED
90;31;31;312058;312060;Gjesing;Gje;;;60,134;Lokalbane I;Trinbræt;;368;STED
90;31;31;312063;;Guldager;Gu;62,574;63,842;63,273;Lokalbane I;Station;;369;STED
90;31;31;312064;;Guldager - Varde;Gu-Va;63,842;71,8;;Lokalbane I;Fri Bane;;370;3
90;31;31;312073;;Varde;Va;71,8;73,926;73,242;Lokalbane I;Station;;371;STED
90;31;31;312073;312071;Varde Kaserne;Vka;;;72,36;Lokalbane I;Trinbræt;;372;STED
91;31;31;312074;;Varde - Tistrup;Va-Tr;73,926;86,726;;Lokalbane II;Fri Bane;;373;3
91;31;31;312074;312075;Varde Nord;Vno;;;75,225;Lokalbane II;Trinbræt;;374;STED
91;31;31;312074;312081;Sig;Is;;;81,5;Lokalbane II;Trinbræt;;375;STED
91;31;31;312087;;Tistrup;Tr;86,726;87,785;87,349;Lokalbane II;Station;;376;STED
91;31;31;312088;;Tistrup - Ølgod;Tr-Øg;87,785;97,336;;Lokalbane II;Fri Bane;;377;3
91;31;31;312088;312093;Gårde;Gå;;;92,836;Lokalbane II;Trinbræt;;378;STED
91;31;31;312097;;Ølgod;Øg;97,336;98,82;97,956;Lokalbane II;Station;;379;STED
91;31;31;312100;;Ølgod - Skjern;Øg-Sj;98,82;114,64;;Lokalbane II;Fri Bane;;380;3
91;31;31;312100;312111;Tarm;Ta;;;111,083;Lokalbane II;Trinbræt;;381;STED
91;31,35;31;313000;;Skjern;Sj;114,64;116,56;115,629;Lokalbane II;Station;;382;STED
92;31;31;314118;;Skjern - Lem;Sj-Lm;116,56;126,279;;Lokalbane II;Fri Bane;;383;3
92;31;31;314127;;Lem;Lm;126,279;127,756;127,046;Lokalbane II;Station;;384;STED
92;31;31;314128;;Lem - Ringkøbing;Lm-Rj;127,756;138,151;;Lokalbane II;Fri Bane;;385;3
92;31;31;314139;;Ringkøbing;Rj;138,151;140,051;139,163;Lokalbane II;Station;;386;STED
92;31;31;314142;;Ringkøbing - Ulfborg;Rj-Uf;140,051;159,455;;Lokalbane II;Fri Bane;;387;3
92;31;31;314142;314145;Hee;He;;;145,584;Lokalbane II;Trinbræt;;388;STED
92;31;31;314142;314151;Tim;Tm;;;151,41;Lokalbane II;Trinbræt;;389;STED
92;31;31;314159;;Ulfborg;Uf;159,455;160,665;160,068;Lokalbane II;Station;;390;STED
92;31;31;314162;;Ulfborg - Vemb;Uf-Vem;160,665;167,673;;Lokalbane II;Fri Bane;;391;3
92;31;31;314169;;Vemb;Vem;167,673;169,08;168,195;Lokalbane II;Station;;392;STED
92;31;31;314170;;Vemb - Holstebro;Vem-Ho;169,08;185,97;;Lokalbane II;Fri Bane;;393;4
92;31;31;314170;314175;Bur;Bu;;;174,183;Lokalbane II;Trinbræt;;394;STED
33b;31,33;31;315000;;Holstebro;Ho;185,97;187,52;186,594;Regionalbane;Station;;395;STED
33b;31;31;316188;;Holstebro - Hjerm;Ho-Hm;187,52;194,534;;Regionalbane;Fri Bane;;396;3
33b;31;31;316195;;Hjerm;Hm;194,534;195,914;195,101;Regionalbane;Station;;397;STED
33b;31;31;316196;;Hjerm - Struer;Hm-Str;195,914;201,108;;Regionalbane;Fri Bane;;398;3
33b;31,32,34;31;317000;;Struer;Str;201,108;202,316;202,1;Regionalbane;Station;;399;STED
32;32;32;322002;;Langå - Ulstrup;Lg-Up;0,884;6,3;;Regionalbane;Fri Bane;;400;3
32;32;32;322007;;Ulstrup;Up;6,3;7,73;7,2;Regionalbane;Station;;401;STED
32;32;32;322008;;Ulstrup - Bjerringbro;Up-Bj;7,73;15,001;;Regionalbane;Fri Bane;;402;3
32;32;32;322015;;Bjerringbro;Bj;15,001;16,85;15,98;Regionalbane;Station;;403;STED
32;32;32;322018;;Bjerringbro - Rødkærsbro;Bj-Rk;16,85;26,195;;Regionalbane;Fri Bane;;404;3
32;32;32;322027;;Rødkærsbro;Rk;26,195;27,637;26,9;Regionalbane;Station;;405;STED
32;32;32;322028;;Rødkærsbro - Rindsholm;Rk-Rn;27,637;33,684;;Regionalbane;Fri Bane;;406;3
32;32;32;322035;;Rindsholm;Rn;33,684;35,105;34,3;Regionalbane;Teknisk Station;;407;STED
32;32;32;322036;;Rindsholm - Viborg;Rn-Vg;35,105;39,48;;Regionalbane;Fri Bane;;408;3
32;32;32;322041;;Viborg;Vg;39,48;41,125;40,199;Regionalbane;Station;;409;STED
32;32;32;322042;;Viborg - Ravnstrup;Vg-Ra;41,125;46,819;;Regionalbane;Fri Bane;;410;3
32;32;32;322047;;Ravnstrup;Ra;46,819;48,259;47,573;Regionalbane;Teknisk Station;;411;STED
32;32;32;322050;;Ravnstrup - Stoholm;Ra-Sm;48,259;56,271;;Regionalbane;Fri Bane;;412;3
32;32;32;322057;;Stoholm;Sm;56,271;57,626;56,996;Regionalbane;Station;;413;STED
32;32;32;322058;;Stoholm - Højslev;Sm-Hø;57,626;64,076;;Regionalbane;Fri Bane;;414;3
32;32;32;322065;;Højslev;Hø;64,076;65,301;64,85;Regionalbane;Station;;415;STED
32;32;32;322066;;Højslev - Skive;Hø-Sk;65,301;69,123;;Regionalbane;Fri Bane;;416;3
32;32;32;322071;;Skive;Sk;69,123;71,106;70,542;Regionalbane;Station;;417;STED
32;32;32;322072;;Skive - Rønbjerg;Sk-Røb;71,106;77,206;;Regionalbane;Fri Bane;;418;3
32;32;32;322077;;Rønbjerg;Røb;77,206;78,484;77,97;Regionalbane;Teknisk Station;;419;STED
32;32;32;322080;;Rønbjerg - Vinderup;Røb-Vp;78,484;88,524;;Regionalbane;Fri Bane;;420;4
32;32;32;322089;;Vinderup;Vp;88,524;89,741;89,2;Regionalbane;Station;;421;STED
32;32;32;322090;;Vinderup - Struer;Vp-Str;89,741;101,492;;Regionalbane;Fri Bane;;422;3
33a;33;33;332002;;Holstebro - Tvis;Ho-Ts;0,632;8,765;;Regionalbane;Fri Bane;;423;3
33a;33;33;332009;;Tvis;Ts;8,765;10,003;9,46;Regionalbane;Teknisk Station;;424;STED
33a;33;33;332010;;Tvis - Aulum;Ts-Uu;10,003;17,291;;Regionalbane;Fri Bane;;425;3
33a;33;33;332017;;Aulum;Uu;17,291;18,619;17,73;Regionalbane;Station;;426;STED
33a;33;33;332020;;Aulum - Vildbjerg;Uu-Id;18,619;24,54;;Regionalbane;Fri Bane;;427;3
33a;33;33;332025;;Vildbjerg;Id;24,54;25,982;25,28;Regionalbane;Station;;428;STED
33a;33;33;332026;;Vildbjerg - Skibbild;Id-Ib;25,982;30,858;;Regionalbane;Fri Bane;;429;3
33a;33;33;332031;;Skibbild;Ib;30,858;32,08;31,555;Regionalbane;Teknisk Station;;430;STED
33a;33;33;332034;;Skibbild - Herning;Ib-Hr;32,08;40,06;;Regionalbane;Fri Bane;;431;3
56;33;33;332034;332035;Gødstrup;Gp;;;34,904;Regionalbane;Trinbræt;Forventet ibrugtagning 01.09.2020 (målt fra km-tavle);432;STED
39;33,35;33;333000;;Herning;Hr;40,06;43,4;41,2;Regionalbane;Station;;433;STED
39;33;33;334044;;Herning - Kølkær;Hr-Ke;43,4;50,61;;Regionalbane;Fri Bane;;434;3
39;33;33;334051;;Kølkær;Ke;50,61;51,821;51,177;Regionalbane;Teknisk Station;;435;STED
39;33;33;334052;;Kølkær - Fasterholt;Ke-Ft;51,821;56,719;;Regionalbane;Fri Bane;;436;3
39;33;33;334057;;Fasterholt;Ft;56,719;58,246;57,594;Regionalbane;Teknisk Station;;437;STED
39;33;33;334060;;Fasterholt - Brande;Ft-Bb;58,246;64,355;;Regionalbane;Fri Bane;;438;3
39;33;33;334065;;Brande;Bb;64,355;66,045;65,405;Regionalbane;Station;;439;STED
39;33;33;334068;;Brande - Thyregod;Bb-Ty;66,045;74,15;;Regionalbane;Fri Bane;;440;3
39;33;33;334075;;Thyregod;Ty;74,15;75,65;74,856;Regionalbane;Station;;441;STED
39;33;33;334076;;Thyregod - Give;Ty-Gw;75,65;82,2;;Regionalbane;Fri Bane;;442;3
39;33;33;334083;;Give;Gw;82,2;83,801;82,829;Regionalbane;Station;;443;STED
39;33;33;334084;;Give - Gadbjerg;Gw-Gg;83,801;92,675;;Regionalbane;Fri Bane;;444;3
39;33;33;334093;;Gadbjerg;Gg;92,675;93,849;93,439;Regionalbane;Teknisk Station;;445;STED
39;33;33;334094;;Gadbjerg - Jelling;Gg-Jl;93,849;99,664;;Regionalbane;Fri Bane;;446;3
39;33;33;334101;;Jelling;Jl;99,664;100,999;100,215;Regionalbane;Station;;447;STED
39;33;33;334102;;Jelling - Grejsdal;Jl-Ges;100,999;108,66;;Regionalbane;Fri Bane;;448;3
39;33;33;334109;;Grejsdal;Ges;108,66;110,255;109,6;Regionalbane;Teknisk Station;;449;STED
39;33;33;334112;;Grejsdal - Vejle;Ges-Vj;110,255;113,6;;Regionalbane;Fri Bane;;450;4
39;33;33;334112;334113;Vejle Sygehus;Vjs;;;113,2;Regionalbane;Trinbræt;;451;STED
34;34,1034;34;342002;;Struer - Hvidbjerg;Str-Hw;0,572;21,335;;Lokalbane II;Fri Bane;;452;4
34;1034;34;342002;342007;Humlum;Um;;;6,9;Lokalbane II;Trinbræt;;453;STED
34;1034;34;342002;342013;Oddesund Nord;No;;;12,377;Lokalbane II;Trinbræt;;454;STED
34;1034;34;342002;342017;Uglev;Ul;;;16,754;Lokalbane II;Trinbræt;;455;STED
34;1034;34;342021;;Hvidbjerg;Hw;21,335;22,153;21,86;Lokalbane II;Station;;456;STED
34;1034;34;342024;;Hvidbjerg - Hurup Thy;Hw-Ur;22,153;39,119;;Lokalbane II;Fri Bane;;457;3
34;1034;34;342024;342027;Lyngs;Ln;;;26,9;Lokalbane II;Trinbræt;;458;STED
34;1034;34;342024;342035;Ydby;Yd;;;35,08;Lokalbane II;Trinbræt;;459;STED
34;1034;34;342039;;Hurup Thy;Ur;39,119;40,038;39,492;Lokalbane II;Station;;460;STED
34;1034;34;342042;;Hurup Thy - Bedsted Thy;Ur-Bn;40,038;45,92;;Lokalbane II;Fri Bane;;461;3
34;1034;34;342045;;Bedsted Thy;Bn;45,92;46,87;46,372;Lokalbane II;Station;;462;STED
34;1034;34;342048;;Bedsted Thy - Snedsted;Bn-Sne;46,87;58,805;;Lokalbane II;Fri Bane;;463;3
34;1034;34;342048;342053;Hørdum;Hæ;;;53,742;Lokalbane II;Trinbræt;;464;STED
34;1034;34;342059;;Snedsted;Sne;58,805;59,728;59,21;Lokalbane II;Station;;465;STED
34;1034;34;342060;;Snedsted - Thisted;Sne-Ti;59,728;72,935;;Lokalbane II;Fri Bane;;466;4
34;1034;34;342060;342067;Sjørring;Ri;;;67;Lokalbane II;Trinbræt;;467;STED
34;1034;34;343000;;Thisted;Ti;72,935;73,679;73,6;Lokalbane II;Station;;468;STED
55;35;35;352002;;Skanderborg - Ry;Sd-Ry;0,598;11,544;;Regionalbane;Fri Bane;;469;3
55;35;35;352002;352005;Alken;Ak;;;5,134;Regionalbane;Trinbræt;;470;STED
55;35;35;352011;;Ry;Ry;11,544;12,723;12,265;Regionalbane;Station;;471;STED
55;35;35;352014;;Ry - Laven;Ry-La;12,723;17,062;;Regionalbane;Fri Bane;;472;3
55;35;35;352017;;Laven;La;17,062;18,188;17,588;Regionalbane;Station;;473;STED
55;35;35;352020;;Laven - Svejbæk;La-Sv;18,188;22,802;;Regionalbane;Fri Bane;;474;3
