BANENR;TIB;HVDSTRK;STRKAFS;TRINBRAET;NAVN;FORKORTELSE;FRAKM;TILKM;STATIONSMIDTE;BANEKLASSE;BTRTYPE;BEMAERKNING;SORT_ORDER;FILTER
;;605;605014;;Saunte - Hornbæk;Sau-Hnk;10,82;12,46;;Privatbane;Fri Bane;;586;4
;;605;605014;605117;Karinebæk;Kab;;;11,7;Privatbane;Trinbræt;;587;STED
;;605;605015;;Hornbæk;Hnk;12,46;13,11;12,7;Privatbane;Station;;588;STED
;;605;605016;;Hornbæk - Dronningmølle;Hnk-Drm;13,11;17,17;;Privatbane;Fri Bane;;589;4
;;605;605016;605143;Horneby Sand;Hsa;;;14,3;Privatbane;Trinbræt;;590;STED
;;605;605016;605151;Kildekrog;Kil;;;15,1;Privatbane;Trinbræt;;591;STED
;;605;605019;;Dronningmølle;Drm;17,17;17,83;17,4;Privatbane;Station;;592;STED
;;605;605020;;Dronningmølle - Firhøj;Drm-Fir;17,83;19,16;;Privatbane;Fri Bane;;593;4
;;605;605021;;Firhøj;Fir;19,16;19,66;19,4;Privatbane;Station;;594;STED
;;605;605022;;Firhøj - Gilleleje;Fir-Gll;19,66;24,05;;Privatbane;Fri Bane;;595;4
;;605;605022;605209;Søborg;Søb;;;20,8;Privatbane;Trinbræt;;596;STED
;;605;605022;605225;Stæremosen;Stæ;;;22,4;Privatbane;Trinbræt;;597;STED
;;605;605022;605237;Gilleleje Øst;Glø;;;23,7;Privatbane;Trinbræt;;598;STED
;;606;606002;;Hillerød - Slotspavillonen;Hi-Spg;1,16;1,43;;Privatbane;Fri Bane;;599;3
;;606;606003;;Slotspavillonen;Spg;1,43;2,1;1,8;Privatbane;Station;;600;STED
;;606;606004;;Slotspavillonen - Kagerup;Spg-Kgg;2,1;8,2;;Privatbane;Fri Bane;;601;4
;;606;606004;606007;Gribsø;Gøg;;;7,1;Privatbane;Trinbræt;;602;STED
;;606;606009;;Kagerup;Kgg;8,2;8,89;8,6;Privatbane;Station;;603;STED
;;606;606010;;Kagerup - Mårum;Kgg-Mmg;8,89;13,36;;Privatbane;Fri Bane;;604;4
;;606;606013;;Mårum;Mmg;13,36;14,01;13,7;Privatbane;Station;;605;STED
;;606;606014;;Mårum - Græsted;Mmg-Græ;14,01;19,49;;Privatbane;Fri Bane;;606;4
;;606;606014;606017;Saltrup;Sag;;;16,6;Privatbane;Trinbræt;;607;STED
;;606;606014;606019;Græsted Syd;Grs;;;18,6;Privatbane;Trinbræt;;608;STED
;;606;606021;;Græsted;Græ;19,49;20,07;19,7;Privatbane;Station;;609;STED
;;606;606022;;Græsted - Gilleleje;Græ-Gll;20,07;25,42;;Privatbane;Fri Bane;;610;4
;;606;606022;606023;Pårup;Ppg;;;23,1;Privatbane;Trinbræt;;611;STED
;;606;606022;606025;Fjellenstrup;Fjg;;;24,9;Privatbane;Trinbræt;;612;STED
