Tabellennummer;Liniennummer;Laufweg
560;RE 42, RE 18, RE 17, RE 16, RE 15, RB 25, RB 20;Naumburg (Saale) - Großheringen - Jena - Saalfeld (Saale)
560_18;RE 18;Halle (Saale)Hbf - Naumburg (Saale) - Jena-Göschwitz
561;EBx 47, EB 23;Erfurt - Neudietendorf - Arnstadt - Saalfeld
562;RB 60;Rottenbach - Obstfelderschmiede - Katzhütte
563;RB 61;Obstfelderschmiede - Cursdorf
564;STB 41;Neuhaus am Rennweg - Sonneberg (Thür)
565;RE 3, RE 1, EB 21;Erfurt - Weimar - Jena West - Jena-Göschwitz - Gera
566;STx 45, STB 46;Erfurt - Plaue - Ilmenau - Rennsteig
569;STB 41;Meiningen - Eisfeld - Sonneberg
570;RE 7, STx 50, STB 44, EB 40;Erfurt - Arnstadt - Grimmenthal - Meiningen/Würzburg
570_7;RE 7;Erfurt - Grimmenthal - / Bad Kissingen - Ebenhausen (Unterfr) - Schweinfurt - Würzburg
571;RB, RE, STB, STx, EB;Erfurt - Neudietendorf - Arnstadt - Plaue
573;STB 43;Wernshausen - Schmalkalden - Zella-Mehlis - Suhl
575;STB 41;Eisenach - Wernshausen - Meiningen
579;EB 26;Weimar - Bad Berka - Kranichfeld
580_1;;Halle/Leipzig - Naumburg
580_2;;Naumburg - Großheringen - Weimar - Erfurt - Eisenach
585;RB 77;Wangen - Nebra - Naumburg Ost
586;RB 78;Querfurt - Mücheln (Geiseltal) - Merseburg
590;RE 19, RE 9, RE 2, RB 75, RB 51, RB 8;Halle - Erfurt - Sangerhausen - Nordhausen - Kassel
594;EB 27;Sömmerda - Buttstädt
601;RE 56, RE 55;Nordhausen - Sondershausen - Straußfurt - Erfurt
603;RE 2, RE 1, RB 53, RB 52;Leinefelde - Mühlhausen (Thür) - Bad Langensalza - Gotha / Kühnhausen - Erfurt
604_2;RE 2;Kassel-Wilhelmshöhe - Leinefelde - Bad Langensalza - Erfurt
605;RE 1, RB 20, RB 6;Bebra - Eisenach - Gotha - Erfurt
606;STB 48;Fröttstädt - Waltershausen - Friedrichroda
610;CAN, CAN;Kassel - Melsungen - Bebra - Fulda (- Frankfurt) Fuldatalbahn
611;RE 9, RE 2, RB 8;Kassel - Eichenberg - Göttingen
612;RB4, RT4;Kassel - Wolfhagen - Korbach
613;RB 8, RB 7, RB 5;Göttingen - Eichenberg - Bebra - Bad Hersfeld - Fulda
615;RE 50, RB 51;Frankfurt - Offenbach - Hanau - Fulda - Bebra Kinzigtalbahn Nahverkehr
615_1;Fernverkehr;Frankfurt - Offenbach - Hanau - Fulda Kinzigtalbahn
616;RB 52;Fulda - Gersfeld Rhönbahn
620;RE 30, RB 38, RB39, RB41, RE98;(Frankfurt) - Gießen - Marburg - Kassel Main-Weser-Bahn - Gießen - Gießen
621;RB 39;Kassel - Wabern - Bad Wildungen
