Abk;Name;Kurzname;Typ;Betr-Zust;Primary location code;UIC;RB;gültig von;gültig bis;Netz-Key;Fpl-rel;Fpl-Gr
RHS;Haslach;Haslach;Bf;;DE14608;0080;6;20081214;;145011;J;N
RHSL;Heidelberg-Wieblingen Schlüssel;HD-Schlüssel;Üst;;DE14684;0080;6;20110113;;913561;N;N
RHSM;Helmsheim;Helmsheim;Hp;;DE14744;0080;6;20081214;;140921;J;N
RHSN;Hausen-Raitbach;Hausen-Raitbach;Hp;;DE14645;0080;6;20081214;;144493;J;N
RHST;Hammerstein;Hammerstein;Museum;;;0080;;19990101;;;N;N
RHTT;Huttenheim;Huttenheim;Hp;;DE15168;0080;6;20081214;;140897;J;N
RHTTK;Huttenheim Kirche;Huttenh Kirche;Bush;;;0080;;20110527;;;N;N
RHTTP;Huttenheim Philippsburger Str;Huttenh Phil Str;Bush;;;0080;;20110527;;;N;N
RHU;Hugstetten;Hugstetten;Hp Awanst;;DE15161;0080;6;20081214;;143578;J;N
RHUB;Huzenbach;Huzenbach;vp-Hp;;DE15169;0080;6;20081224;;142687;J;N
RHUM;Berghausen Hummelberg;Berghsn Hummelbg;Hp;;DE10802;0080;6;20081214;;335521;J;N
RHV;Hausen vor Wald;Hausen vor Wald;Hp;a.B.;DE14644;0080;6;20060101;;143990;N;N
RHWI;Heidelberg-Wieblingen Ort;Heidelb.-Wieb.O.;NE-Bf;;;0080;;20081214;;515296;J;N
RHX;Herxheim (b Landau);Herxheim/Landau;Bf;a.B.;DE14847;0080;6;20030101;;194605;N;N
RHXB;Herxheim am Berg;Herxheim(Berg);Hp;;DE14848;0080;6;20081214;;392803;J;N
RHZ;Herbolzheim (Breisgau);Herbolzheim(Brg);Bf;;DE14785;0080;6;20081214;;143263;J;N
RIB;Ibach;Ibach;Hp;;DE15170;0080;6;20081214;;143024;J;N
RIFD;Iffezheim Depot 57;Depot 57;Anst;;DE15183;0080;6;20030101;;374223;N;N
RIM;Immendingen;Immendingen;Bf;;DE15208;0080;6;20081214;;145342;J;N
RIM B;Immendingen                        (Bus);Immendingen    B;Bush;;;0080;;19990101;;;;
RIMB;Immenstaad (Bodensee);Immenstaad;Slst;;;0080;;19990101;;;;
RIMM;Immendingen Mitte;Immend Mitte;Bft;;DE15209;0080;6;20101212;;720292;J;N
RIMZ;Immendingen-Zimmern;Immend-Zimmern;Hp;;DE15210;0080;6;20081214;;720318;J;N
RIN;Insheim;Insheim;Hp;;DE15235;0080;6;20081214;;194308;J;N
RIR;Ihringen;Ihringen;Hp;;DE15190;0080;6;20081214;;143602;J;N
RIT;Istein;Istein;Hp Awanst;;DE15250;0080;6;20081214;;144212;J;N
RITB;Ittersbach;Ittersbach;NE-Bf;;;0080;;20081214;;406389;J;N
